,x_(nm),baseline_dark,baseline_light,baseline_mirror,baseline_calibration,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1229,1230,0.3621226043733797,0.3621226043733797,1205.6310367398037,4058.784645740278,1239,3.6212260437337966,,1579.2835817119972
1,186.775442325,1224,1230,1.18800459154587,0.19800076525764498,1213.4685676883225,3089.843577411638,1234,1.9800076525764498,,1460.181402746555
2,187.3207793,1229,1230,1.908567993433533,1.908567993433533,1220.7434386236343,2242.1616979254436,1237,15.268543947468263,,1356.4114879688395
3,187.86601092499998,1229,1225,1.7279185264672412,-0.4319796316168103,1227.4741904018495,1511.6005608532928,1237,-3.4558370529344824,,1267.436179971104
4,188.41113719999998,1223,1229,1.043047789334166,0.17384129822236102,1233.6793638790778,894.0217197667839,1230,1.2168890875565272,,1192.7178213456023
5,188.956158125,1218,1232,0.840365554154959,0.06002611101106849,1239.3774999114298,385.2867282375146,1225,0.4201827770774795,,1131.7187546845887
6,189.50107369999998,1219,1241,0.8202728553565946,0.03728512978893612,1244.5871393550158,-18.742860162917168,1222,0.11185538936680836,,1083.9013225803164
7,190.045883925,1239,1261,0.837733819880384,0.03807880999456291,1249.3268230659457,-322.2054918629133,1237,-0.07615761998912582,,1048.7278676250398
8,190.59058879999998,1252,1271,0.8116271105193998,0.04271721634312631,1253.61509190033,-529.2396132908757,1247,-0.21358608171563154,,1025.6607324110123
9,191.135188325,1256,1276,0.8262856362484797,0.041314281812423984,1257.4704867142789,-643.9836708752077,1252,-0.16525712724969593,,1014.1622595304875
10,191.67968249999998,1263,1280,0.8012221689422371,0.04713071582013159,1260.9115483639025,-670.5761110443104,1259,-0.18852286328052636,,1013.6947915757198
11,192.22407132499998,1263,1267,0.7775424502505143,0.19438561256262857,1263.956817705311,-613.1553802265848,1259,-0.7775424502505143,,1023.7206711389626
12,192.7683548,1262,1241,0.7753865851703869,-0.03692317072239938,1266.6248355946148,-475.8599248504338,1260,0.07384634144479876,,1043.7022408124699
13,193.312532925,1259,1241,0.7956261498651602,-0.04420145277028668,1268.934142887924,-262.82819134425927,1254,0.22100726385143338,,1073.1018431884954
14,193.8566057,1262,1255,0.7908861747409445,-0.11298373924870635,1270.9032804413487,21.8013738635359,1252,1.1298373924870635,,1111.3818208592927
15,194.400573125,1265,1265,0.7942231778648126,inf,1272.5507891109994,373.89032434454884,1267,inf,,1158.004516417116
16,194.9444352,1281,1282,0.7947581770897779,0.7947581770897779,1273.8952097529864,789.3002136703803,1290,7.152823593808002,,1212.432272454219
17,195.488191925,1294,1288,0.7914877943554887,-0.13191463239258144,1274.9550832234195,1263.892595412628,1300,-0.7914877943554887,,1274.127431562855
