,x_(nm),baseline_dark,baseline_light,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1278,1287,1267.5389896000315,4395.870131635964,1271,-0.7777777777777778,,1258.117640734732
1,186.775442325,1271,1278,1273.1238231657753,3320.7759248192233,1271,0.0,,1261.3862805176896
2,187.3207793,1270,1282,1278.4182670584753,2381.7570621991845,1265,-0.4166666666666667,,1264.633644639923
3,187.86601092499998,1281,1279,1283.4287447022018,1574.0057274256342,1263,9.0,,1267.8572262996472
4,188.41113719999998,1294,1278,1288.1616795210255,892.7141041483574,1257,2.3125,,1271.0545186950767
5,188.956158125,1289,1281,1292.6234949390168,333.07437601714173,1258,3.875,,1274.223015024426
6,189.50107369999998,1284,1278,1296.820614380246,-109.72127331822776,1275,1.5,,1277.36020848591
7,190.045883925,1299,1301,1300.7594612687838,-440.4806602079634,1292,-3.5,,1280.4635922777434
8,190.59058879999998,1314,1311,1304.4464590287005,-664.0116010022793,1297,5.666666666666667,,1283.5306595981406
9,191.135188325,1327,1311,1307.8880310840668,-785.1219120513897,1291,2.25,,1286.558903645316
10,191.67968249999998,1325,1319,1311.0906008589532,-808.6194097055086,1293,5.333333333333333,,1289.5458176174843
11,192.22407132499998,1311,1320,1314.0605917774299,-739.3119103148483,1294,-1.8888888888888888,,1292.4888947128607
12,192.7683548,1309,1319,1316.8044272635675,-582.0072302296239,1284,-2.5,,1295.3856281296592
13,193.312532925,1304,1315,1319.3285307414367,-341.5131858000477,1272,-2.909090909090909,,1298.2335110660945
14,193.8566057,1304,1326,1321.6393256351078,-22.637593376334735,1276,-1.2727272727272727,,1301.0300367203813
15,194.400573125,1315,1334,1323.7432353686513,369.8117306913023,1295,-1.0526315789473684,,1303.7726982907343
16,194.9444352,1324,1342,1325.6466833661377,831.0269700526478,1307,-0.9444444444444444,,1306.4589889753681
17,195.488191925,1333,1349,1327.3560930516373,1356.2003083574914,1324,-0.5625,,1309.0864019724972
18,196.0318433,1346,1346,1328.877887849221,1940.5239292556157,1338,-inf,,1311.6524304803363
19,196.575389325,1342,1339,1330.2184911829588,2579.190016396813,1322,6.666666666666667,,1314.1545676971002
20,197.11883,1327,1337,1331.3843264769216,3267.390753430862,1308,-1.9,,1316.5903068210032
21,197.662165325,1321,1348,1332.3818171551795,4000.3183240075523,1314,-0.25925925925925924,,1318.9571410502601
22,198.2053953,1326,1343,1333.2173866418034,4773.16491177667,1320,-0.35294117647058826,,1321.2525635830855
23,198.74851992499998,1334,1324,1333.8974583608635,5581.122700388002,1313,2.1,,1323.474067617694
24,199.2915392,1336,1332,1334.4284557364304,6419.383873491335,1322,3.5,,1325.6191463523
25,199.83445312499998,1356,1356,1334.8168021925494,7283.1406147363205,1349,-inf,-inf,1327.6852929850932
26,200.3772617,1356,2441,1334.9787764162013,8041.574894108432,1350,-0.005529953917050691,-inf,1329.9673605290918
27,200.919964925,1328,6957,1334.72767220093,8813.542866202915,1335,0.0012435601350151003,-inf,1331.9218328840716
28,201.4625628,1319,12221,1334.0438968039791,9601.499286506874,1334,0.001375894331315355,-inf,1333.0610885863525
29,202.005055325,1315,14379,1333.835987225053,10404.987111825663,1335,0.0015309246785058174,-inf,1334.5023443339346
30,202.5474425,1323,15375,1333.6944211646664,11219.629051620435,1343,0.0014232849416453174,-inf,1336.208204036306
31,203.089724325,1336,16095,1332.8063829305052,12042.058732926904,1346,0.0006775526797208483,-inf,1337.2336859271752
32,203.63190079999998,1337,16738,1331.7288273799832,12872.676074203022,1343,0.0003895850918771508,-inf,1338.1622913316016
33,204.173971925,1338,17214,1331.1572176039972,13711.32879566895,1341,0.0001889644746787604,-inf,1339.5249269518872
34,204.71593769999998,1342,17575,1330.996421209968,14548.051937755956,1342,0.0,-inf,1340.9869759224187
35,205.257798125,1346,17826,1331.1458470180269,15375.13957280996,1342,-0.00024271844660194174,-inf,1342.5565244965653
36,205.7995532,1343,18208,1331.47049763299,16187.401028335551,1343,0.0,-inf,1344.2940496953242
37,206.34120292499998,1342,18783,1331.5498425785154,16987.26430949706,1347,0.0002866808095866063,-inf,1345.9810641237368
38,206.88274729999998,1337,19381,1331.0523907676024,17772.907064712337,1345,0.0004433606739082243,,1346.9660014949118
39,207.424186325,1328,19676,1330.152551586647,18532.800833540612,1337,0.0004905166775670373,,1346.9595234319886
40,207.96552,1327,19867,1329.5645201476564,19264.94717887118,1327,0.0,,1346.9448685134173
41,208.506748325,1319,20198,1329.3090670230104,19971.602301297495,1334,0.0007945336087716511,,1347.6236154839032
42,209.0478713,1317,20596,1329.0519151056396,20650.352782622085,1351,0.0017635769490118782,,1348.227275815961
43,209.588888925,1319,21050,1328.9496477836165,21294.354209607962,1351,0.001621813390096802,,1348.9644159550353
44,210.12980119999997,1316,21428,1329.4860812249171,21901.558948107122,1345,0.0014419252187748608,-inf,1350.1461867765715
45,210.670608125,1312,21840,1330.2693152732536,22457.365693446758,1346,0.001656274356975838,inf,1351.0569888332432
