sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction
0,0.00017713677429805465,0.0013720782969300635,0.00859113355345565,0.00436122394722821,0.020618556701030927
1,0.15410114652044726,1.2319708430812708,0.9965207474988923,2.9958819534878125,0.15463917525773196
2,0.004641997722648338,0.020039175446345477,0.022513688954844447,0.039309665255035965,0.20618556701030927
3,0.05279485906179718,0.06956261251586747,0.11638866656805286,0.057149823567507564,0.4536082474226804
4,0.07792677516612058,0.08259824994491195,0.15426320798191215,0.04159092059557951,0.5051546391752577
5,0.0,0.0,,,0.0
6,0.0541255992829174,0.06623626712128049,0.11667073623206639,0.04647320759032595,0.4639175257731959
7,0.006448591153847104,0.03026248973964747,0.06255133419231693,0.07330849840192473,0.10309278350515463
8,0.0008777912241967294,0.002307343050142648,0.005676383249805517,0.0026811936185064137,0.15463917525773196
9,0.02528754873142011,0.03480016131549674,0.06629438451210139,0.021363406663219786,0.38144329896907214
10,0.021866968026731104,0.031125600086947224,0.04713546441317593,0.029954404271247976,0.4639175257731959
11,0.0,0.0,,,0.0
12,0.0453547160682664,0.25991414110425864,0.2199703729310921,0.5378040799940107,0.20618556701030927
13,0.08074180266048639,0.07773960587409912,0.14239917923758508,0.04334145677858772,0.5670103092783505
14,0.03476425842021195,0.047302079807531795,0.0702527722241783,0.04503799883175336,0.4948453608247423
15,0.06409627813453403,0.058909339379479335,0.11304252689181454,0.024235464448680574,0.5670103092783505
16,0.006391580136699639,0.011590713586047578,0.015499581831496623,0.013587330049977435,0.41237113402061853
17,0.0,0.0,,,0.0
18,0.0,0.0,,,0.0
19,0.0,0.0,,,0.0
20,0.02816712426874444,0.025800016917828118,0.04793352726435458,0.013611901341446157,0.5876288659793815
21,0.0,0.0,,,0.0
22,0.055743336142117066,0.07790610117038745,0.10602163932912463,0.07882320546431051,0.5257731958762887
23,0.07835860843388916,0.06358548741160759,0.12667975030145415,0.020372967033628644,0.6185567010309279
24,0.06712141192446176,0.07188483208322333,0.12056994364208873,0.05327238747566537,0.5567010309278351
25,0.06967318559161821,0.3692238088006178,0.17328971800992227,0.5666675398461083,0.4020618556701031
26,0.09087548186985288,0.6993288722473991,0.24485893726043687,1.1313899076464264,0.3711340206185567
27,0.001285073335311021,0.0038966767831221665,0.007790757095323065,0.006431900451772067,0.16494845360824742
28,3.3500619580089045e-05,0.0003109044865684235,0.0016247800496343185,0.0014500374193173809,0.020618556701030927
29,0.0,0.0,,,0.0
30,0.0,0.0,,,0.0
31,0.06193759865576984,0.06190609501170859,0.12015894139219348,0.02095166851543623,0.5154639175257731
32,0.0,0.0,,,0.0
33,0.0563297204222687,0.0595655334312293,0.10713691923451107,0.03612382149138721,0.5257731958762887
