sample,position,xrf_avg,xrf_std
25,0,314239.3743473527,409269.3913806845
25,1,484214.2682574596,388075.2885037822
25,2,532133.573285343,338670.7296346784
25,3,506165.4335799506,340628.4157336005
25,4,443813.4595303161,368112.573429636
25,5,369801.5952365082,506986.131994502
25,6,609069.2972516608,485426.8002280305
25,7,656739.7631584792,241711.62368583318
25,8,653664.8225910373,187648.19580580303
25,9,553507.0763625052,206472.74725334885
25,10,513728.3654380235,244536.74301836314
25,11,469426.1147770445,325415.1308117913
25,12,308596.0585660646,452139.7133147817
25,13,587660.245728632,513817.3898052287
25,14,636041.6805527783,354473.3798337964
25,15,574845.0309938012,130955.07380327872
25,16,510831.1670999133,178109.9863622316
25,17,422528.82756781974,177106.52253338476
25,18,417223.22202226217,165002.80484702892
25,19,386944.833255571,154542.75441907573
25,20,424261.8143038058,200690.44929310883
25,21,152253.9936457153,214833.59521625907
25,22,428367.659801373,445805.9623013446
25,23,564491.5461352173,367076.6042476312
25,24,489422.11557688453,168374.2447325797
25,25,508120.59810260165,159896.79491102276
25,26,419916.0167966405,186266.39373034742
25,27,402675.0205514452,204575.88173985571
25,28,452407.2963185141,197061.3543874082
25,29,440942.9225266057,187577.7027739783
25,30,485209.62474171823,215523.9081555683
25,31,497633.8065720189,224649.78639260717
25,32,224035.1929614077,280365.09086849797
25,33,372361.08333888766,301566.8686872046
25,34,416307.84954120277,230466.43307556887
25,35,433326.6679997333,169748.58517850525
25,36,443449.0879601857,180351.4622761036
25,37,358870.44813259563,181365.97166362428
25,38,428083.27223444195,229061.4171696201
25,39,455402.2528827567,212798.8965000422
25,40,417454.28692039364,198208.23830613014
25,41,462263.10293496854,227382.37831746097
25,42,449723.3886556021,234593.87676824606
25,43,222195.5608878224,251422.10010316665
25,44,299655.62443066936,234340.36892758327
25,45,326752.42729231925,182927.08467316692
25,46,420209.2914750383,202815.58339551758
25,47,403465.9734719723,191024.2021834931
25,48,344162.27865538,165291.61863006864
25,49,433113.37732453505,204208.59184537703
25,50,446479.5929702948,201141.69245540386
25,51,399955.5644426669,190388.90111551541
25,52,383807.6829078628,180096.29008468767
25,53,343851.2297540491,156639.97066079773
25,54,210117.97640471903,242398.98750211895
25,55,302677.24232931185,241146.0726242752
25,56,337852.4295140971,203956.27364790306
25,57,428963.0962696349,227855.5425567724
25,58,449954.45355373365,235953.52074068875
25,59,399840.0319936012,221343.30059845964
25,60,425248.28367659793,191583.16209872652
25,61,422573.26312515273,196874.39811521285
25,62,360523.4508653823,177037.93811416454
25,63,330369.4816592235,151462.7995533098
25,64,293896.77620031533,118453.22797956747
25,65,174142.94918794016,206380.5238732627
25,66,291834.9663400653,236401.23366979152
25,67,356150.99202381744,219847.4066204927
25,68,514732.60903374886,326854.82259657705
25,69,666053.4559754716,334686.17351343593
25,70,678095.4920127084,346069.17841177457
25,71,553604.8345886377,315571.7646910861
25,72,368797.3516407829,218526.9774228073
25,73,283969.8726921282,154165.86429862026
25,74,272461.0633428869,132161.78691188627
25,75,282361.30551667436,137276.04849066294
25,76,220906.92972516603,207833.35792622
25,77,291035.12630807166,224670.8966431175
25,78,493856.78419871576,398227.28005945066
25,79,745299.8289231042,411424.2786789164
25,80,800870.9369237263,369392.67254343675
25,81,560012.4419560531,368880.52106884954
25,82,344393.3435535115,225189.02246653425
25,83,306480.9260370148,195078.01877861915
25,84,255228.95420915808,134445.3031907299
25,85,212606.3676153657,175881.33501948643
25,86,348525.85038547835,338648.1998188318
25,87,465995.6897509387,440273.2829450685
25,88,479059.74360683415,414758.70241769205
25,89,355475.5715523561,287888.5728066776
25,90,318807.3496411828,201046.76201650716
25,91,323793.0191739429,204688.60147052215
25,92,207798.44031193753,153262.5920960922
25,93,216347.84154280246,121045.49685040677
25,94,202172.8987535825,80906.87563309293
25,95,204927.90330822716,78349.65069412204
25,96,253842.56482036915,156915.67715348754
22,0,150138.86111666553,255420.9197810117
22,1,251949.61007798437,383419.6524275037
22,2,281801.41749427887,388928.53500079666
22,3,248723.58861561015,375740.5835627606
22,4,168846.2307538492,303065.83466924186
22,5,223493.07916194532,354197.85901030776
22,6,358141.7049923348,430769.3968566033
22,7,397982.6256970827,405394.3081370514
22,8,368255.2378413206,359789.61831686966
22,9,346526.2503054944,362825.57299982134
22,10,345415.3613721699,406822.8949522798
22,11,280877.1579017529,378140.0658853061
22,12,234744.16227865536,382957.6522663483
22,13,399209.0470794729,463519.8077199834
22,14,417312.0931369281,367563.58972325077
22,15,361661.00113310653,249490.12325895356
22,16,277766.66888844443,94077.1377004331
22,17,301086.4493767912,197350.8387241672
22,18,378670.93248017057,317645.2863347171
22,19,368921.7712013153,366310.7318972442
22,20,319509.43144704384,376956.8031975087
22,21,153622.60881157097,269917.54552477086
22,22,392934.74638405646,478723.4369575287
22,23,451509.6980603879,412607.4293919635
22,24,296678.44208935974,170764.56590700557
22,25,278850.8964873691,77380.79248541103
22,26,261227.75444911007,74890.33579270348
22,27,250492.1237974626,65499.0991761071
22,28,257468.50629874013,63429.191673465175
22,29,266604.4568864004,170348.8016908456
22,30,362132.01804083626,319020.62632853235
22,31,354755.7155235619,384249.875842563
22,32,258925.99257926186,433638.678938829
22,33,428474.3051389722,474282.159312647
22,34,376084.7830433913,314518.5129979636
22,35,274851.6963274011,107332.46610565689
22,36,295265.3913661711,102799.09492887426
22,37,267884.20093759015,85984.84768028963
22,38,262347.5304939011,79461.28825488493
22,39,258588.28234353117,72120.13665230798
22,40,227492.2793219133,59694.30235019545
22,41,278175.4760159078,168940.1610739809
22,42,414014.9747828212,360388.4786231719
22,43,328343.22024483985,504001.2105199251
22,44,428367.65980137297,476081.2485193983
22,45,301557.46628452075,177103.65995370338
22,46,292119.35390699626,123571.49004660259
22,47,318674.0429691839,110060.6543599448
22,48,288502.29954009183,85448.78231472628
22,49,282663.46730653854,85609.64854671479
22,50,272087.80466128985,79028.35776155326
22,51,247888.20013775013,77193.05628373919
22,52,250998.68915105858,131044.87372844882
22,53,426225.8659379234,372788.2781445989
22,54,329160.8344997667,515422.47447920154
22,55,413526.18365215836,489704.40284696687
22,56,292217.1121331288,172971.18492859983
22,57,290110.86671554565,119063.48641507633
22,58,310133.52884978545,95860.73874906031
22,59,274985.0029994,64973.58988052219
22,60,263191.8060832277,78680.85575154296
22,61,263947.2105578883,82078.16396902884
22,62,246057.45517563145,87347.65038501138
22,63,201870.73696371826,83031.07011234967
22,64,381612.56637561374,390119.4544438199
22,65,230780.51056455373,412476.10258374945
22,66,376235.8639383234,461878.2738324648
