sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction,INPUT_fuel_oxidizer_ratio,INPUT_acac_amount,INPUT_concentration,INPUT_anneal_temperature,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
0,0.00017713677429805465,0.0013720782969300635,0.00859113355345565,0.00436122394722821,0.020618556701030927,2.4969085119416548,0.5310012255921716,0.0057452718892019965,220.0,4.703563438011608e-08,3.7604811250516004e-08,2,True,0.0,1e-07
1,0.15410114652044726,1.2319708430812708,0.9965207474988924,2.9958819534878125,0.15463917525773194,0.5384112023418725,0.6771686143831441,0.011095312242393159,260.0,4.387407686304792e-08,3.270765159115751e-08,10,False,4.387407686304792e-08,3.270765159115751e-08
2,0.004641997722648338,0.02003917544634548,0.022513688954844447,0.03930966525503597,0.20618556701030927,1.9850966807977557,1.0,0.0114261297716404,200.0,3.4806391654358465e-08,2.3457331851466456e-08,16,False,3.4806391654358465e-08,2.3457331851466456e-08
3,0.05279485906179718,0.06956261251586747,0.11638866656805286,0.057149823567507564,0.4536082474226804,0.5761591062424644,0.0,0.005859343303409649,220.0,4.149756622840868e-07,1.9011414990177813e-07,40,False,4.149756622840868e-07,1.9011414990177813e-07
4,0.07792677516612058,0.08259824994491195,0.15426320798191215,0.04159092059557951,0.5051546391752577,1.0926561647298123,0.17091583564293394,0.011378997685666284,260.0,3.1819804683108955e-07,7.652052153825876e-08,43,False,3.1819804683108955e-07,7.652052153825876e-08
5,0.0,0.0,0.0,0.0,0.0,0.5846433648043702,0.6156894226854689,0.011410308579179363,200.0,0.0,0.0,0,True,0.0,1e-07
6,0.0541255992829174,0.06623626712128049,0.1166707362320664,0.04647320759032595,0.4639175257731959,1.1801587220733296,0.8120988136751406,0.005824728230770808,220.0,5.102966566757568e-07,1.085243457436065e-07,32,False,5.102966566757568e-07,1.085243457436065e-07
7,0.0064485911538471035,0.03026248973964747,0.06255133419231693,0.07330849840192473,0.10309278350515463,1.9234892647898525,1.0,0.01151132434291255,260.0,1.7149732343565983e-07,2.0429527496368932e-07,10,False,1.7149732343565983e-07,2.0429527496368932e-07
8,0.0008777912241967294,0.002307343050142648,0.0056763832498055175,0.0026811936185064137,0.15463917525773194,1.2107139655557164,0.5618933117517904,0.0059688962898519675,207.74632263183597,2.1591070783184018e-08,9.390984640363141e-09,15,False,2.1591070783184018e-08,9.390984640363141e-09
9,0.02528754873142011,0.034800161315496736,0.06629438451210139,0.021363406663219786,0.38144329896907214,1.3309843953342528,0.8552738192710329,0.006707145027528293,203.6397857666016,2.4740558458354724e-07,5.595611628417045e-08,31,False,2.4740558458354724e-07,5.595611628417045e-08
10,0.021866968026731104,0.031125600086947224,0.04713546441317593,0.029954404271247976,0.4639175257731959,0.6044573964899562,0.9196157865864344,0.0065418175653140865,198.91786193847656,1.3995226537681371e-07,8.336963489241501e-08,36,False,1.3995226537681371e-07,8.336963489241501e-08
11,0.0,0.0,0.0,0.0,0.0,0.4969633966706963,0.02657844391707171,0.005884644971724712,196.2642059326172,0.0,0.0,0,True,0.0,1e-07
12,0.0453547160682664,0.25991414110425864,0.2199703729310921,0.5378040799940107,0.20618556701030927,0.9838203967905594,0.9842388110054264,0.008034581105753395,203.8536529541016,4.0555933558777164e-08,4.736894499086683e-08,14,False,4.0555933558777164e-08,4.736894499086683e-08
13,0.08074180266048639,0.07773960587409913,0.14239917923758508,0.043341456778587716,0.5670103092783505,0.97337757821001,0.7784178456919909,0.006038253141543131,224.39215087890625,5.047980116584092e-07,1.1065960683364882e-07,43,False,5.047980116584092e-07,1.1065960683364882e-07
14,0.03476425842021195,0.0473020798075318,0.0702527722241783,0.04503799883175336,0.4948453608247423,1.8437905846908973,0.7688813169439362,0.006132206651597174,223.81964111328125,2.7743158933286236e-07,1.3510117098811864e-07,44,False,2.7743158933286236e-07,1.3510117098811864e-07
15,0.06409627813453403,0.058909339379479335,0.11304252689181454,0.024235464448680574,0.5670103092783505,1.0712605959801444,0.7484340410971777,0.006316576842567204,212.4146728515625,5.098234006747147e-07,1.1754967398204732e-07,44,False,5.098234006747147e-07,1.1754967398204732e-07
16,0.0063915801366996395,0.011590713586047578,0.015499581831496625,0.013587330049977435,0.4123711340206185,0.4558044661224205,0.8359286091965519,0.006767347800495996,200.58636474609372,3.1135927874564636e-08,2.012372146785977e-08,31,False,3.1135927874564636e-08,2.012372146785977e-08
17,0.0,0.0,0.0,0.0,0.0,1.0683433777584057,0.17893451105813726,0.009422428187807674,188.35562133789062,0.0,0.0,0,True,0.0,1e-07
18,0.0,0.0,0.0,0.0,0.0,1.6661135526980482,0.5107518517748874,0.010361322644198876,181.1585235595703,0.0,0.0,0,True,0.0,1e-07
19,0.0,0.0,0.0,0.0,0.0,1.456046982465761,0.7809171721421294,0.009001070840612375,180.2484436035156,0.0,0.0,0,True,0.0,1e-07
