sample,position,xrf_avg,xrf_std,cond,cond_nan,cond_nan_pass,xrf_avg_rel,xrf_avg_rel_pass,condxrf,condxrf_pass
0,0,120020.44035637313,157045.83376459466,0.0,,False,,False,,False
0,1,169797.15168077493,221962.9104231416,0.0,,False,,False,,False
0,2,208882.66791086228,225519.665927866,0.0,,False,,False,,False
0,3,209824.7017263214,201895.40829200702,0.0,,False,,False,,False
0,4,203825.90148636934,210642.34335273984,0.0,,False,,False,,False
0,5,133280.01066453374,201915.78194441265,0.0,,False,,False,,False
0,6,202226.2214223821,271694.23776121106,0.0,,False,,False,,False
0,7,235881.7125463796,249003.22237781828,0.0,,False,,False,,False
0,8,255753.2937856872,205749.5894867012,0.0,,False,,False,,False
0,9,258721.58901553016,179363.58770528183,0.0,,False,,False,,False
0,10,250278.83312226433,193572.16292738816,0.0,,False,,False,,False
0,11,289284.3653491523,249564.03488815943,0.0,,False,,False,,False
0,12,118882.8900886489,203892.88209674065,0.0,,False,,False,,False
0,13,234344.24226265852,344643.3931346157,0.0,,False,,False,,False
0,14,281294.85214068287,323000.69950105285,0.0,,False,,False,,False
0,15,199888.91110666745,159883.09614992907,0.0,,False,,False,,False
0,16,183634.38423426414,35272.3800257755,0.0,,False,,False,,False
0,17,188531.18265235837,39922.13131624213,0.0,,False,,False,,False
0,18,188122.3755248949,47382.329670663865,0.0,,False,,False,,False
0,19,222044.47999289024,115401.3581617182,0.0,,False,,False,,False
0,20,245150.96980603872,170790.45632038589,0.0,,False,,False,,False
0,21,87351.41860516783,15865.507754108388,0.0,,False,,False,,False
0,22,175920.37148125927,290307.43658216123,0.01295235750068386,0.01295235750068386,True,175920.37148125927,True,7.362625142059611e-08,True
0,23,277891.0884489768,352792.9237360442,0.0,,False,,False,,False
0,24,238690.03976982372,257697.22306035034,0.0,,False,,False,,False
0,25,154795.70752516153,26265.325323864694,0.0,,False,,False,,False
0,26,170454.79792930288,22874.25789081323,0.0,,False,,False,,False
0,27,179021.97338310105,22435.18506287821,0.0,,False,,False,,False
0,28,182647.91486147206,22013.226206361098,0.0,,False,,False,,False
0,29,181403.71925614867,21662.789488598846,0.0,,False,,False,,False
0,30,177031.26041458372,27565.163821861846,0.0,,False,,False,,False
0,31,265769.06840854045,269728.59130730404,0.0,,False,,False,,False
0,32,85076.31806971937,14976.552227595947,0.0,,False,,False,,False
0,33,205416.69443888997,305702.5289361811,0.0,,False,,False,,False
0,34,248839.12106467586,296071.07409477123,0.0,,False,,False,,False
0,35,167184.34090959578,73187.86174408736,0.0,,False,,False,,False
0,36,151151.99182385733,21487.77115224706,0.0,,False,,False,,False
0,37,161087.78244351118,20579.130867301403,0.0,,False,,False,,False
0,38,170330.37836877062,21392.929493200056,0.0,,False,,False,,False
0,39,174533.98209247034,22734.08230494797,0.0,,False,,False,,False
0,40,174516.20786953715,21952.70522139632,0.0,,False,,False,,False
0,41,173325.3349330133,23571.906807152125,0.0,,False,,False,,False
0,42,229571.86340509672,217409.93196589727,0.0,,False,,False,,False
0,43,85485.12519718276,13337.372320393908,0.0,,False,,False,,False
0,44,206891.9549423449,304828.4350252314,0.00422990960622744,0.00422990960622744,True,206891.9549423449,True,2.0445017339636043e-08,True
0,45,241133.99542313762,293303.7130387232,0.0,,False,,False,,False
0,46,154013.64171610118,23443.367920187033,0.0,,False,,False,,False
0,47,152476.1714323801,17761.612091869105,0.0,,False,,False,,False
0,48,157426.29251927382,18462.113681025632,0.0,,False,,False,,False
0,49,162003.15492457055,19861.32025616049,0.0,,False,,False,,False
0,50,165637.98351440814,22109.993834673493,0.0,,False,,False,,False
0,51,169077.29565198065,21448.523860738158,0.0,,False,,False,,False
0,52,169370.57033037828,22681.357099234327,0.0,,False,,False,,False
