sample,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
0,4.7035634380116075e-08,3.7604811250516e-08,2,True,0.0,1e-07
1,4.3874076863047916e-08,3.270765159115751e-08,10,False,4.3874076863047916e-08,3.270765159115751e-08
2,3.480639165435847e-08,2.3457331851466456e-08,16,False,3.480639165435847e-08,2.3457331851466456e-08
3,4.149756622840868e-07,1.9011414990177813e-07,40,False,4.149756622840868e-07,1.9011414990177813e-07
4,3.1819804683108955e-07,7.652052153825876e-08,43,False,3.1819804683108955e-07,7.652052153825876e-08
5,,,0,True,0.0,1e-07
6,5.102966566757568e-07,1.085243457436065e-07,32,False,5.102966566757568e-07,1.085243457436065e-07
7,1.714973234356598e-07,2.0429527496368935e-07,10,False,1.714973234356598e-07,2.0429527496368935e-07
8,2.159107078318402e-08,9.390984640363141e-09,15,False,2.159107078318402e-08,9.390984640363141e-09
9,2.4740558458354724e-07,5.5956116284170454e-08,31,False,2.4740558458354724e-07,5.5956116284170454e-08
10,1.3995226537681371e-07,8.336963489241501e-08,36,False,1.3995226537681371e-07,8.336963489241501e-08
11,,,0,True,0.0,1e-07
12,4.055593355877717e-08,4.736894499086683e-08,14,False,4.055593355877717e-08,4.736894499086683e-08
13,5.047980116584092e-07,1.1065960683364885e-07,43,False,5.047980116584092e-07,1.1065960683364885e-07
14,2.7743158933286236e-07,1.3510117098811864e-07,44,False,2.7743158933286236e-07,1.3510117098811864e-07
15,5.098234006747148e-07,1.1754967398204731e-07,44,False,5.098234006747148e-07,1.1754967398204731e-07
16,3.113592787456464e-08,2.012372146785977e-08,31,False,3.113592787456464e-08,2.012372146785977e-08
17,,,0,True,0.0,1e-07
18,,,0,True,0.0,1e-07
19,,,0,True,0.0,1e-07
20,1.9791533080697664e-07,4.1077319072209344e-08,41,False,1.9791533080697664e-07,4.1077319072209344e-08
21,,,0,True,0.0,1e-07
22,3.535814648779288e-07,1.1061642724837757e-07,38,False,3.535814648779288e-07,1.1061642724837757e-07
23,5.756606053389548e-07,1.2484870055222626e-07,49,False,5.756606053389548e-07,1.2484870055222626e-07
24,3.71426964740186e-07,1.4793432059319975e-07,40,False,3.71426964740186e-07,1.4793432059319975e-07
25,1.1889893550815477e-08,1.3158654366249871e-08,15,False,1.1889893550815477e-08,1.3158654366249871e-08
26,6.87730788641384e-08,6.530539581912659e-08,28,False,6.87730788641384e-08,6.530539581912659e-08
27,2.465961050480433e-08,1.9490822755725765e-08,16,False,2.465961050480433e-08,1.9490822755725765e-08
28,3.356200033414687e-09,4.197923200561675e-09,2,True,0.0,1e-07
29,,,0,True,0.0,1e-07
30,,,0,True,0.0,1e-07
31,5.292691790916716e-07,1.0949145213448343e-07,41,False,5.292691790916716e-07,1.0949145213448343e-07
32,,,0,True,0.0,1e-07
33,3.7662813348808893e-07,1.1283695254091809e-07,44,False,3.7662813348808893e-07,1.1283695254091809e-07
34,,,0,True,0.0,1e-07
35,6.706394984799747e-07,4.173826354248849e-07,36,False,6.706394984799747e-07,4.173826354248849e-07
36,,,0,True,0.0,1e-07
37,1.6977426404221676e-08,1.3419416432935173e-08,13,False,1.6977426404221676e-08,1.3419416432935173e-08
38,,,0,True,0.0,1e-07
39,,,0,True,0.0,1e-07
40,7.56583891036384e-07,1.7322211040019182e-07,52,False,7.56583891036384e-07,1.7322211040019182e-07
41,6.407874191080812e-07,1.5918565649306304e-07,49,False,6.407874191080812e-07,1.5918565649306304e-07
42,2.8138358791341263e-07,1.275039771698367e-07,26,False,2.8138358791341263e-07,1.275039771698367e-07
43,,,0,True,0.0,1e-07
44,3.361036636043191e-07,8.138713125796851e-08,29,False,3.361036636043191e-07,8.138713125796851e-08
45,1.973707813185822e-07,1.2923181784954334e-07,39,False,1.973707813185822e-07,1.2923181784954334e-07
46,6.777660192008738e-08,5.377178152504563e-08,27,False,6.777660192008738e-08,5.377178152504563e-08
47,,,0,True,0.0,1e-07
48,3.8903916086502646e-08,3.47845188168311e-08,20,False,3.8903916086502646e-08,3.47845188168311e-08
49,,,0,True,0.0,1e-07
50,1.538961221381166e-07,1.5863635053624493e-07,8,False,1.538961221381166e-07,1.5863635053624493e-07
51,4.219990038651724e-07,1.0008830570860717e-07,53,False,4.219990038651724e-07,1.0008830570860717e-07
52,1.861103106453972e-07,2.0067646354813588e-07,20,False,1.861103106453972e-07,2.0067646354813588e-07
53,1.0471789364962981e-07,7.801550473732593e-08,26,False,1.0471789364962981e-07,7.801550473732593e-08
54,5.982974787047374e-07,2.0529012818884618e-07,31,False,5.982974787047374e-07,2.0529012818884618e-07
55,2.1423498450026172e-08,1.5986126167631058e-08,11,False,2.1423498450026172e-08,1.5986126167631058e-08
56,7.428702653812686e-08,5.7580448566634046e-08,30,False,7.428702653812686e-08,5.7580448566634046e-08
57,1.1264911997514275e-07,3.605818194335595e-08,45,False,1.1264911997514275e-07,3.605818194335595e-08
58,1.549647448382991e-07,1.2363818644502277e-07,47,False,1.549647448382991e-07,1.2363818644502277e-07
59,3.2008796641268703e-07,2.0864760416393634e-07,38,False,3.2008796641268703e-07,2.0864760416393634e-07
60,5.72613159401121e-09,7.339716676039266e-09,7,False,5.72613159401121e-09,7.339716676039266e-09
61,1.8963149824687058e-07,1.4908649241219485e-07,25,False,1.8963149824687058e-07,1.4908649241219485e-07
62,,,0,True,0.0,1e-07
63,,,0,True,0.0,1e-07
64,2.588141833105936e-07,1.9345154120883924e-07,13,False,2.588141833105936e-07,1.9345154120883924e-07
65,6.081738005902991e-07,1.3245711670832614e-07,38,False,6.081738005902991e-07,1.3245711670832614e-07
66,6.821400995677268e-07,2.074566191878521e-07,52,False,6.821400995677268e-07,2.074566191878521e-07
67,3.180469234173235e-07,8.344924111527276e-08,40,False,3.180469234173235e-07,8.344924111527276e-08
68,1.6507410691640955e-07,1.026124184984198e-07,27,False,1.6507410691640955e-07,1.026124184984198e-07
69,9.159942113638375e-07,2.0628972165616627e-07,58,False,9.159942113638375e-07,2.0628972165616627e-07
70,,,0,True,0.0,1e-07
71,5.246614019504328e-07,1.8043732290282666e-07,30,False,5.246614019504328e-07,1.8043732290282666e-07
