2021-01-07 23:32:21,633 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 61
2021-01-07 23:32:21,640 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 62
2021-01-07 23:32:21,646 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 63
2021-01-07 23:32:21,653 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 64
2021-01-07 23:32:21,659 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 65
2021-01-07 23:32:21,665 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 66
2021-01-07 23:32:21,672 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 67
2021-01-07 23:32:21,678 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 68
2021-01-07 23:32:21,685 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 69
2021-01-07 23:32:21,692 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 7
2021-01-07 23:32:21,698 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 70
2021-01-07 23:32:21,706 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 71
2021-01-07 23:32:21,712 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 72
2021-01-07 23:32:21,719 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 73
2021-01-07 23:32:21,725 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 74
2021-01-07 23:32:21,732 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 75
2021-01-07 23:32:21,736 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 76
2021-01-07 23:32:21,743 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 77
2021-01-07 23:32:21,749 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 78
2021-01-07 23:32:21,756 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 79
2021-01-07 23:32:21,762 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 8
2021-01-07 23:32:21,767 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 80
2021-01-07 23:32:21,773 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 81
2021-01-07 23:32:21,779 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 82
2021-01-07 23:32:21,786 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 83
2021-01-07 23:32:21,790 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 84
2021-01-07 23:32:21,794 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 85
2021-01-07 23:32:21,798 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 86
2021-01-07 23:32:21,802 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 87
2021-01-07 23:32:21,807 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 88
2021-01-07 23:32:21,812 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 89
2021-01-07 23:32:21,818 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 9
2021-01-07 23:32:21,823 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 90
2021-01-07 23:32:21,826 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 91
2021-01-07 23:32:21,831 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 92
2021-01-07 23:32:21,835 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 93
2021-01-07 23:32:21,839 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 94
2021-01-07 23:32:21,843 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 95
2021-01-07 23:32:21,848 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 96
2021-01-07 23:32:21,852 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 22
2021-01-07 23:32:21,852 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 0
2021-01-07 23:32:21,856 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 1
2021-01-07 23:32:21,860 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 10
2021-01-07 23:32:21,864 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 11
2021-01-07 23:32:21,868 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 12
2021-01-07 23:32:21,873 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 13
2021-01-07 23:32:21,878 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 14
2021-01-07 23:32:21,882 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 15
2021-01-07 23:32:21,887 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 16
2021-01-07 23:32:21,891 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 17
2021-01-07 23:32:21,895 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 18
2021-01-07 23:32:21,900 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 19
2021-01-07 23:32:21,905 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 2
2021-01-07 23:32:21,909 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 20
2021-01-07 23:32:21,914 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 21
2021-01-07 23:32:21,918 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 22
2021-01-07 23:32:21,922 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 23
2021-01-07 23:32:21,928 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 24
2021-01-07 23:32:21,932 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 25
2021-01-07 23:32:21,937 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 26
2021-01-07 23:32:21,942 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 27
2021-01-07 23:32:21,946 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 28
2021-01-07 23:32:21,952 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 29
2021-01-07 23:32:21,957 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 3
2021-01-07 23:32:21,961 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 30
2021-01-07 23:32:21,967 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 31
2021-01-07 23:32:21,973 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 32
2021-01-07 23:32:21,979 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 33
2021-01-07 23:32:21,985 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 34
2021-01-07 23:32:21,990 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 35
2021-01-07 23:32:21,995 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 36
2021-01-07 23:32:21,999 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 37
2021-01-07 23:32:22,004 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 38
2021-01-07 23:32:22,009 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 39
2021-01-07 23:32:22,013 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 4
2021-01-07 23:32:22,018 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 40
2021-01-07 23:32:22,022 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 41
2021-01-07 23:32:22,027 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 42
2021-01-07 23:32:22,036 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 43
2021-01-07 23:32:22,043 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 44
2021-01-07 23:32:22,047 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 45
2021-01-07 23:32:22,052 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 46
2021-01-07 23:32:22,058 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 47
