2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:01,564 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 60
2021-01-07 16:55:01,572 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 61
2021-01-07 16:55:01,579 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 62
2021-01-07 16:55:01,584 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 63
2021-01-07 16:55:01,588 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 64
2021-01-07 16:55:01,593 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 65
2021-01-07 16:55:01,599 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 66
2021-01-07 16:55:01,604 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 67
2021-01-07 16:55:01,608 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 68
2021-01-07 16:55:01,612 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 69
2021-01-07 16:55:01,621 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 7
2021-01-07 16:55:01,626 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 70
2021-01-07 16:55:01,630 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 71
2021-01-07 16:55:01,637 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 72
2021-01-07 16:55:01,644 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 73
2021-01-07 16:55:01,648 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 74
2021-01-07 16:55:01,654 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 75
2021-01-07 16:55:01,659 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 76
2021-01-07 16:55:01,665 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 77
2021-01-07 16:55:01,670 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 78
2021-01-07 16:55:01,675 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 79
2021-01-07 16:55:01,681 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 8
2021-01-07 16:55:01,686 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 80
2021-01-07 16:55:01,691 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 81
2021-01-07 16:55:01,696 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 82
2021-01-07 16:55:01,703 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 83
2021-01-07 16:55:01,708 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 84
2021-01-07 16:55:01,712 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 85
