,x_(nm),baseline_dark,baseline_light,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1289,1311,1281.2889034342963,4480.05255951761,1283,-0.2727272727272727,-0.5281859351685284,1266.9409171828693
1,186.775442325,1282,1304,1285.6904212160584,3383.8160094355517,1280,-0.09090909090909091,-0.4222743733117011,1269.5389611416238
2,187.3207793,1293,1305,1289.9014196744647,2426.2620059667215,1268,-2.0833333333333335,-0.32569511090245873,1272.3030462434924
3,187.86601092499998,1297,1311,1293.924967619687,1602.4886559042307,1262,-2.5,-0.23809835743764196,1275.2214786124084
4,188.41113719999998,1295,1309,1297.7641338618976,907.5940660411907,1265,-2.142857142857143,-0.15913432241409142,1278.2825643723052
5,188.956158125,1309,1301,1301.4219872112685,336.676343170715,1274,4.375,-0.08845321532864775,1281.4746096471158
6,189.50107369999998,1305,1300,1304.9015964779715,-115.16640591408395,1275,6.0,-0.02570524567815169,1284.7859205607733
7,190.045883925,1308,1321,1308.2060304721788,-452.8360744200936,1286,-1.6923076923076923,0.029459377040556234,1288.204803237211
8,190.59058879999998,1319,1338,1311.3383580040625,-681.2345555542033,1294,-1.3157894736842106,0.07739044333063527,1291.7195638003625
9,191.135188325,1317,1337,1314.3016478837942,-805.2637425232988,1300,-0.85,0.11843774369524496,1295.3185083741605
10,191.67968249999998,1315,1339,1317.0989689215467,-829.8255285342693,1313,-0.08333333333333333,0.15295106863754449,1298.9899430825383
11,192.22407132499998,1311,1330,1319.7333899274913,-759.8218067940015,1308,-0.15789473684210525,0.18128020866069328,1302.7221740494292
12,192.7683548,1310,1320,1322.2079797118004,-600.1544705093829,1306,-0.4,0.20377495426785042,1306.5035073987663
13,193.312532925,1300,1319,1324.525807084646,-355.725412887301,1304,0.21052631578947367,0.22078509596217566,1310.322249254483
14,193.8566057,1303,1319,1326.6899408562,-31.436527134645985,1305,0.125,0.2326604242468281,1314.1667057405123
15,194.400573125,1317,1335,1328.7034498366347,367.81029354169823,1321,0.2222222222222222,0.23975072962496735,1318.0251829807876
16,194.9444352,1328,1349,1330.5694028361218,837.1131559348414,1327,-0.047619047619047616,0.24240580259975253,1321.885987099242
17,195.488191925,1337,1357,1332.2908686648334,1371.5701668378965,1335,-0.1,0.24097543367434293,1325.7374242198086
18,196.0318433,1335,1357,1333.8709161329418,1966.2794330439783,1345,0.45454545454545453,0.2358094133518982,1329.5678004664207
19,196.575389325,1339,1354,1335.3126140506188,2616.339061346195,1341,0.13333333333333333,0.22725753213557764,1333.3654219630116
20,197.11883,1357,1352,1336.6190312280364,3316.847158537659,1335,4.4,0.21566958052854013,1337.1185948335144
21,197.662165325,1357,1370,1337.7932364753665,4062.9018314114874,1342,-1.1538461538461537,0.20139534903394563,1340.8156252018625
22,198.2053953,1347,1379,1338.8382986027816,4849.601186760787,1342,-0.15625,0.184784628154953,1344.4448191919887
23,198.74851992499998,1339,1362,1339.7572864204533,5672.043331378681,1325,-0.6086956521739131,0.16618720839472245,1347.9944829278265
24,199.2915392,1343,1362,1340.553268738554,6525.32637205826,1328,-0.7894736842105263,0.14595288025641218,1351.452922533309
25,199.83445312499998,1361,1377,1341.2293143672305,7404.5484155925105,1355,-0.375,0.12443143424318055,1354.8084441323438
26,200.3772617,1353,2487,1341.6858139481951,8175.886543296407,1365,0.010582010582010581,0.11710101849390026,1358.1335251081305
27,200.919964925,1341,7055,1341.7147160750833,8961.81236268075,1355,0.002450122506125306,0.11377213390757053,1361.1558585698172
28,201.4625628,1340,12406,1341.7448866338732,9764.375116083982,1363,0.002078438460148202,0.04501019069619832,1363.6926770708023
29,202.005055325,1345,14661,1341.842940949939,10582.348320460058,1378,0.0024782216881946532,-0.05008695954424835,1366.1773766109955
30,202.5474425,1348,15676,1341.7564837255402,11411.45699789328,1373,0.0017448352875488553,-0.14943049636801187,1368.3030872726185
31,203.089724325,1337,16356,1341.7364153208196,12248.386984982437,1357,0.0013316465809974033,-0.05175766424215014,1369.9759224444233
32,203.63190079999998,1346,17024,1341.3703594645149,13093.976601961289,1375,0.0018497257303227452,0.12298071087083924,1371.17169131801
33,204.173971925,1342,17512,1341.4179483113744,13947.092663480222,1388,0.002844774273345702,0.08351964284908013,1372.5594237694816
34,204.71593769999998,1331,17868,1342.0406124713782,14797.365852000894,1390,0.003567757150631916,0.04658890986739333,1374.1921674329847
35,205.257798125,1338,18118,1342.2970622210892,15637.873813676115,1391,0.003158522050059595,0.01696527467225977,1375.6335590839844
36,205.7995532,1345,18509,1342.3661464585578,16463.833201204696,1391,0.0026800279655092053,0.006897823662731323,1377.3090443724393
37,206.34120292499998,1340,19098,1342.1136832091072,17276.086796982614,1395,0.003097195630138529,-0.0064626848242087705,1378.8961924392133
38,206.88274729999998,1335,19697,1341.406373870277,18073.49185711986,1393,0.003158697309661257,-0.029011975598789166,1380.3111961765571
39,207.424186325,1335,20011,1340.1559265215265,18846.75609866552,1381,0.0024630541871921183,-0.03462900322949836,1381.0092414323958
40,207.96552,1325,20236,1338.8973249676974,19591.420598427674,1376,0.0026968431071862937,-0.042289508001147356,1381.5760719381826
41,208.506748325,1329,20569,1338.0890167387454,20310.126888490853,1369,0.002079002079002079,-0.04655042674317733,1382.1612720559658
42,209.0478713,1343,20935,1337.460984393732,20999.62338897783,1385,0.002143732135565537,-0.05869633634904483,1382.3100409975045
43,209.588888925,1342,21416,1336.939726834104,21652.855942376536,1386,0.0021918900069741957,-0.07322934231093926,1382.6148723640133
44,210.12980119999997,1343,21790,1336.8059978708209,22268.31978074206,1368,0.0012226732527999217,-0.07082401290593675,1383.1101950213783
45,210.670608125,1335,22206,1337.3103581054806,22832.564995809207,1370,0.0016769680417804609,-0.07656357058137926,1383.337199030529
46,211.2113097,1320,22574,1338.2493601213814,23342.13266438606,1376,0.002634798155641291,0.05646175986932105,1383.4217309565072
47,211.751905925,1320,22713,1338.6953498380228,23794.878253187613,1371,0.0023839573692329267,0.03558491944147782,1383.4652427008273
48,212.29239679999998,1331,23002,1338.689777797886,24178.718929080605,1377,0.0021226523925984035,0.04081398609443437,1383.5283698384749
49,212.83278232499998,1339,23419,1338.5172710593415,24498.2062334363,1384,0.0020380434782608695,0.030869704066323334,1383.1766517927658
50,213.37306249999997,1341,23806,1338.3188294185343,24757.184239733153,1386,0.0020031159581571333,0.01179581477486125,1382.401639901217
51,213.91323732499998,1340,24294,1338.1436499127697,24947.00330698269,1384,0.0019168772327263221,0.0016648259467268375,1381.6232530747884
52,214.45330679999998,1341,24895,1337.8817187252002,25105.43081383449,1387,0.0019529591576802241,0.0018494611164060638,1381.091395048559
53,214.993270925,1346,25357,1336.8883553421113,25348.32768579081,1385,0.0016242555495397943,0.0018186380298853045,1379.788126571357
54,215.5331297,1343,25767,1335.8778001766486,25719.225826179038,1370,0.0011054700294792009,0.0017702496403060259,1378.4040861627407
55,216.07288312499998,1342,26210,1336.2201635370873,26139.7109107789,1372,0.001206369631655139,0.0017292532227685523,1378.4507689868135
56,216.61253119999998,1350,26654,1337.0635574984456,26573.829690366205,1385,0.0013831805248182105,0.0016666980453863313,1378.7361435139828
57,217.152073925,1356,26954,1337.6647489184097,27021.643049672177,1393,0.0014454254238612393,0.001591093390658845,1378.6640241001799
58,217.69151129999997,1342,27170,1338.3518539491013,27488.24113796409,1389,0.0018197305250116152,0.0015347961183889407,1379.166889397242
59,218.230843325,1329,27602,1339.1908310493754,27974.830890846373,1380,0.001941156320176607,0.0015012048182984038,1380.041020181631
60,218.77006999999998,1335,28146,1339.8819678814666,28476.65514507635,1384,0.001827608071314013,0.0014830166007142674,1380.7795193548855
61,219.30919132499997,1335,28763,1340.548710050032,28983.357131531302,1382,0.001713577366195129,0.0014615009834895052,1381.4746200366676
62,219.84820729999998,1337,29236,1341.2837210355583,29496.920134090808,1372,0.0012545252518011399,0.0014328508370407144,1382.1685881899664
63,220.38711792499998,1347,29614,1341.5194681645985,30028.05243606819,1365,0.0006367849435737786,0.0014278820424166669,1382.9418786382212
64,220.9259232,1351,30191,1341.482389182062,30581.897528822265,1376,0.0008668515950069349,0.0014315687304204247,1383.63919907583
65,221.464623125,1349,30816,1341.6781127545096,31150.665881446323,1370,0.0007126616214748702,0.001416262944433643,1384.153140501457
66,222.0032177,1343,31246,1341.6821219053404,31724.982241952777,1375,0.00107012674313614,0.001405160828667387,1384.4224331241664
67,222.54170692499997,1345,31638,1341.9072459172091,32301.238351943928,1389,0.0014524807711352459,0.0013697468232709896,1384.2801422455511
68,223.0800908,1350,32118,1342.4156832544081,32878.94572923446,1387,0.001202548101924077,0.0013414682445115388,1384.612675258756
69,223.61836932499997,1334,32489,1342.5986319055667,33455.391084735136,1387,0.001701171561547103,0.001323148095946419,1384.9106435026574
70,224.1565425,1312,33177,1342.7285329225772,34025.96697546878,1389,0.00241644437470579,0.0012704904383638866,1384.3646968220985
71,224.69461032499999,1311,33874,1342.5645427982254,34588.89725701535,1383,0.002211098486011731,0.0012313291685901386,1383.812543885452
72,225.23257279999999,1327,34550,1341.6575233866877,35137.96994269339,1386,0.0017758781566986725,0.0012312362081600393,1383.423950712334
73,225.77042992499997,1333,35537,1340.7987270379597,35666.084622527575,1380,0.0013741082914279033,0.001229761291246764,1383.0343609141505
74,226.30818169999998,1330,36247,1340.262656005773,36165.6861310555,1368,0.0010882950998081164,0.0012149303300101211,1382.561598224169
75,226.84582812499997,1334,36687,1339.868151033973,36640.88067679832,1374,0.0011314457047492434,0.0011995066110054436,1382.1961312826752
76,227.3833692,1355,37265,1339.5093207093903,37087.329950847554,1395,0.001113895850737956,0.0011869059593936772,1381.9228521597054
77,227.92080492499997,1357,37581,1339.190355387412,37497.706063556776,1396,0.0010766342756183746,0.0011758629940382683,1381.7128587283707
