sample,x0: fuel to oxidizer ratio,x1: acac amount,x2: total concentration,x3: temperature,conductance - mean,conductance - std,XRF-normalized conductance - mean,XRF-normalized conductance - std,Conductivity - mean
0,2.4969085119416548,0.5310012255921716,0.0057452718892019965,220.0,0.00017713677429805465,0.0013720782969300635,0.0,1e-07,0.0
1,0.5384112023418725,0.6771686143831441,0.011095312242393159,260.0,0.15410114652044726,1.2319708430812708,4.387407686304792e-08,3.270765159115751e-08,6.065083656898224
2,1.985096680797756,1.0,0.0114261297716404,200.0,0.004641997722648338,0.02003917544634548,3.4806391654358465e-08,2.3457331851466456e-08,4.8115810581588825
3,0.5761591062424644,0.0,0.005859343303409649,220.0,0.05279485906179718,0.06956261251586747,4.149756622840868e-07,1.9011414990177813e-07,57.36558549564628
4,1.0926561647298123,0.17091583564293394,0.011378997685666284,260.0,0.07792677516612058,0.08259824994491195,3.1819804683108955e-07,7.652052153825876e-08,43.98719953735586
5,0.5846433648043702,0.6156894226854689,0.011410308579179363,200.0,0.0,0.0,0.0,1e-07,0.0
6,1.1801587220733296,0.8120988136751406,0.005824728230770808,220.0,0.0541255992829174,0.06623626712128049,5.102966566757568e-07,1.085243457436065e-07,70.54261044021266
7,1.9234892647898525,1.0,0.01151132434291255,260.0,0.0064485911538471035,0.03026248973964747,1.7149732343565983e-07,2.0429527496368927e-07,23.707521341547622
8,1.2107139655557164,0.5618933117517904,0.005968896289851968,207.74632263183602,0.0008777912241967294,0.002307343050142648,2.1591070783184014e-08,9.390984640363141e-09,2.9847158027001943
9,1.3309843953342528,0.8552738192710329,0.006707145027528293,203.6397857666016,0.02528754873142011,0.034800161315496736,2.4740558458354724e-07,5.595611628417045e-08,34.200960452499466
10,0.6044573964899562,0.9196157865864344,0.0065418175653140865,198.91786193847656,0.021866968026731104,0.031125600086947224,1.3995226537681371e-07,8.336963489241501e-08,19.346781930760116
11,0.4969633966706963,0.02657844391707171,0.005884644971724712,196.2642059326172,0.0,0.0,0.0,1e-07,0.0
12,0.9838203967905594,0.9842388110054264,0.008034581105753395,203.8536529541016,0.0453547160682664,0.25991414110425864,4.0555933558777164e-08,4.736894499086683e-08,5.606388724380372
13,0.97337757821001,0.7784178456919909,0.006038253141543131,224.39215087890625,0.08074180266048639,0.07773960587409913,5.047980116584092e-07,1.1065960683364882e-07,69.78248636663042
14,1.8437905846908973,0.7688813169439362,0.006132206651597174,223.81964111328125,0.03476425842021195,0.0473020798075318,2.7743158933286236e-07,1.3510117098811864e-07,38.35170831337123
15,1.0712605959801444,0.7484340410971777,0.006316576842567204,212.4146728515625,0.06409627813453403,0.058909339379479335,5.098234006747146e-07,1.1754967398204732e-07,70.47718827198312
16,0.4558044661224205,0.8359286091965519,0.006767347800495996,200.58636474609366,0.0063915801366996395,0.011590713586047578,3.113592787456464e-08,2.012372146785977e-08,4.3041818950140085
17,1.0683433777584057,0.17893451105813726,0.009422428187807674,188.35562133789062,0.0,0.0,0.0,1e-07,0.0
18,1.6661135526980482,0.5107518517748874,0.010361322644198876,181.1585235595703,0.0,0.0,0.0,1e-07,0.0
19,1.456046982465761,0.7809171721421294,0.009001070840612375,180.2484436035156,0.0,0.0,0.0,1e-07,0.0
20,2.045202870063065,0.3426058349694802,0.007934997130474577,264.33807373046875,0.028167124268744438,0.025800016917828118,1.9791533080697664e-07,4.1077319072209344e-08,27.35950529680524
21,1.0612507499486086,0.9354109460914304,0.0106144143328205,184.2558441162109,0.0,0.0,0.0,1e-07,0.0
22,1.4609105510931568,0.9724938223982325,0.0100438315364936,229.1809539794922,0.055743336142117066,0.07790610117038745,3.5358146487792883e-07,1.1061642724837757e-07,48.87854782010065
23,1.2924912097175645,0.5190575054092438,0.0072979931651584624,260.71926879882807,0.07835860843388916,0.06358548741160759,5.756606053389547e-07,1.2484870055222626e-07,79.57842031092446
24,1.1392717958360543,0.5565314889396008,0.009066031787669931,249.66586303710938,0.06712141192446176,0.07188483208322333,3.71426964740186e-07,1.4793432059319975e-07,51.34548176612093
25,0.28228226148701163,0.3702849645412951,0.010111712739785122,276.82989501953125,0.06967318559161821,0.3692238088006178,1.1889893550815477e-08,1.3158654366249873e-08,1.6436402589713854
26,0.5385452623092929,0.7093839581678246,0.008811004877949568,223.42251586914062,0.09087548186985288,0.6993288722473991,6.87730788641384e-08,6.530539581912659e-08,9.507082689294483
27,1.1042245405552302,0.5878509636283928,0.007110480656066259,202.95257568359366,0.001285073335311021,0.0038966767831221673,2.465961050480433e-08,1.9490822755725765e-08,3.4089059269559394
28,0.8870463764327371,0.6132464696843766,0.010302175099222606,200.2826995849609,3.3500619580089045e-05,0.0003109044865684235,0.0,1e-07,0.0
29,0.40880414015540617,0.6547844717972972,0.008653810734540591,196.3622131347656,0.0,0.0,0.0,1e-07,0.0
30,0.5658839751673991,0.5976979124776296,0.007998870749730332,180.230712890625,0.0,0.0,0.0,1e-07,0.0
31,1.451912380356355,0.6652570883974823,0.007288996876849182,239.50978088378903,0.06193759865576984,0.06190609501170859,5.292691790916716e-07,1.0949145213448343e-07,73.16534221857208
32,0.8813357105676817,0.26295630461634073,0.009274368595560998,184.1900177001953,0.0,0.0,0.0,1e-07,0.0
33,1.627293173714781,0.41358638140487897,0.00805839882978703,253.5044250488281,0.0563297204222687,0.0595655334312293,3.766281334880889e-07,1.1283695254091804e-07,52.06448318621107
34,1.5501855949379268,0.4005055298252532,0.009221783848839208,193.23020935058602,0.0,0.0,0.0,1e-07,0.0
35,0.6886090721575489,0.7560300115816592,0.006270337353172496,257.78732299804693,0.081588920715138,0.10760903610604924,6.706394984799746e-07,4.1738263542488493e-07,92.70815371450185
36,1.6807514252264495,0.6125256893412833,0.00851548614870474,194.8937225341797,0.0,0.0,0.0,1e-07,0.0
37,0.11782703800468625,0.3125751417840876,0.007519885187944301,209.07122802734366,0.003094972487934252,0.011499576726323684,1.6977426404221676e-08,1.3419416432935172e-08,2.3469328310166984
38,1.3200234706977432,0.33081203311801394,0.010484636741001136,198.5233612060547,0.0,0.0,0.0,1e-07,0.0
39,0.11203988631994627,0.0010899977412876431,0.007732793085879846,194.1928253173828,0.0,0.0,0.0,1e-07,0.0
40,1.2545621478909486,0.03495190951213248,0.009725549995270649,277.34823608398443,0.1767150233813028,0.1384409138217045,7.565838910363841e-07,1.732221104001918e-07,104.58897190978894
41,1.7955439510384226,0.3176776145614641,0.007094101963926964,272.1824951171875,0.09802863879121193,0.1075106434610442,6.407874191080812e-07,1.5918565649306304e-07,88.5814490253511
42,0.9573939191212372,0.9995438901675068,0.009925548156317349,251.5506591796875,0.04708088187912142,0.1926755769332786,2.8138358791341273e-07,1.275039771698367e-07,38.89802640634901
