sample,position,xrf_avg,xrf_std
25,0,372538.8255682197,390425.1308376714
25,1,516021.2401964051,503435.38033146993
25,2,641213.9794263368,593896.9429955026
25,3,539305.4722388855,560073.4568168585
25,4,305547.77933302225,365177.84066306043
25,5,537634.6952831656,414115.4388801902
25,6,658517.1854517985,311832.29711376526
25,7,764940.3452642807,367155.75577893195
25,8,893145.8152813882,434197.82547772856
25,9,835841.7205447798,429751.62097310997
25,10,633544.402230665,364793.04213536024
25,11,434099.84669732716,357103.3959022801
25,12,557239.6631784755,384610.87194339966
25,13,707822.8798684708,249561.9081678442
25,14,697149.4589970896,156959.7362128788
25,15,663165.144748828,143432.11037371878
25,16,692999.1779421894,189257.880944693
25,17,739336.5771290186,209246.68297710942
25,18,761269.9682285766,211080.5063864201
25,19,700944.2555933258,274376.4753237542
25,20,461703.21491257305,333372.0995405402
25,21,476420.2715012553,391820.9210384433
25,22,636459.3747917084,264289.29886560095
25,23,633357.7728898666,158105.36870348532
25,24,668026.3947210559,136969.90104580382
25,25,665404.6968384102,144079.16727317875
25,26,648065.9423670822,137865.25804970518
25,27,660570.1082005821,171033.51281730508
25,28,645302.0507009709,226522.97976119965
25,29,645595.3253793686,237791.33132597362
25,30,558901.5530227288,263187.35408737184
25,31,301086.44937679125,234998.64274210972
25,32,654126.9523873003,456495.91068831406
25,33,614134.9507876203,216639.84113551187
25,34,584389.7887089249,142595.5592667057
25,35,609407.0074873915,121620.88054688321
25,36,646519.5849718945,171598.84540494453
25,37,687675.7981736986,200220.8984815115
25,38,696918.3940989579,230069.7853835441
25,39,633953.2093581285,282150.63774204906
25,40,538896.6651114222,258774.52742436546
25,41,467204.33691039565,194210.44847258955
25,42,358328.3343331333,195881.17039235597
25,43,644235.5973249795,482852.3254536552
25,44,577608.9226599125,269085.0807510771
25,45,527050.1455264502,155235.7705866931
25,46,535332.9334133173,148813.56192425752
25,47,631411.495478682,212705.57211798706
25,48,701504.1436157214,232788.14344632524
25,49,675802.6172543268,263125.44837127597
25,50,603088.2712346419,296538.4609532126
25,51,505898.8202359528,251023.5781539561
25,52,462805.2167344308,183166.55260172053
25,53,418734.0309715834,187056.59391671786
25,54,384047.63491746096,384500.1462353217
25,55,481992.49039081065,322478.44355244073
25,56,525832.6112555267,202435.77349922247
25,57,531244.8621386834,167431.55166240348
25,58,572605.4789042191,211879.78333773004
25,59,576604.6790641871,240452.27092230547
25,60,491448.3769912684,211792.94179589904
25,61,419836.0327934412,177650.26704047588
25,62,463827.23455308937,182248.2429494327
25,63,517416.51669666066,181632.72738379208
25,64,408025.0616543358,193079.02755670922
25,65,174089.62651914053,114426.14302911161
25,66,317527.605589993,245371.72874081647
25,67,458681.5970139305,250528.5795530307
25,68,488524.5173187584,209678.31068617097
25,69,460618.98731364834,176104.60008366744
25,70,441680.55277833313,174627.4152041291
25,71,388366.7710902263,155976.8322839114
25,72,340349.70783621044,115867.59361211008
25,73,411864.293807905,167210.4564521244
25,74,417747.5615987913,192564.1245427757
25,75,284503.0993801239,169010.32682147733
25,76,187118.13192916964,114268.69461305029
25,77,244564.42044924342,175107.6296663639
25,78,283658.8237907973,191783.94287158924
25,79,311048.90133084485,195891.03864649465
25,80,326947.94374458434,198003.009403587
25,81,288893.33244462206,166163.01634787887
25,82,257903.97476060333,109592.58894775344
25,83,280877.1579017529,144629.69134931368
25,84,250918.70514785926,141053.21237624704
25,85,141598.34699726713,57708.111876238174
25,86,161674.3318003065,76717.51603775656
25,87,207105.24561754306,106210.45771809154
25,88,209691.3950543224,117684.50115249644
25,89,174605.07898420308,94763.03911821864
25,90,177493.39021084664,64217.369639086275
25,91,174507.3207580705,58094.255737644206
25,92,150698.749139061,61167.591123644524
25,93,180079.53964762596,74604.14124499977
25,94,175378.25768179688,77149.51780947391
25,95,155151.1919838254,73304.41436403496
25,96,155808.83823235348,66619.80893769421
22,0,290244.1733875447,402018.33185287076
22,1,307787.3314226043,381102.90244712174
22,2,297442.73367548705,348918.1897230543
22,3,264649.29236374947,330368.17969267676
22,4,169539.42544824365,248826.38455580294
22,5,326610.2335088537,418594.46202970383
22,6,410708.9693172476,415922.96483926364
