INPUT_fuel_oxidizer_ratio,INPUT_acac_amount,INPUT_concentration,INPUT_anneal_temperature,sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
2.3184931595696985,0.5275379477598804,0.005856724594115303,220.0,0,0.02464640221262813,0.026624275749563803,0.04687649048284173,0.017496865354278492,0.5257731958762887,2.230600327402396e-07,7.321494722630918e-08,40,False,2.230600327402396e-07,7.321494722630918e-08
0.7239442860624128,0.7313330006187784,0.01127861373394053,260.0,1,0.5131661142241244,5.026351125402572,12.444278269935019,21.544904430828765,0.041237113402061855,1.8300194664948933e-05,3.6586137401396865e-05,4,False,1.8300194664948933e-05,3.6586137401396865e-05
2.0639714129129083,1.0,0.011926395589248805,200.0,2,0.0010230514744243287,0.005033066762203092,0.014176570431308553,0.012827862002009643,0.07216494845360824,4.489409464037999e-08,5.0618076162816416e-08,7,False,4.489409464037999e-08,5.0618076162816416e-08
0.6525601479502984,0.0,0.005818824533383462,220.0,3,0.059265771773721075,0.07183730676445875,0.1402141429768523,0.029310658241768886,0.42268041237113396,5.675108679951184e-07,1.1583464010153127e-07,32,False,5.675108679951184e-07,1.1583464010153127e-07
1.0525383000190447,0.12865458815624575,0.011864456747167582,260.0,4,0.03099626107118393,0.03389873056815077,0.06263827758135086,0.01844414641092724,0.4948453608247423,1.3303326731935939e-07,3.201926614529024e-08,39,False,1.3303326731935939e-07,3.201926614529024e-08
0.6437676977954692,0.6855002402130457,0.011605771441710728,200.0,5,1.1509775381881226e-05,0.00011277230695862556,0.0011164482120424788,0.0,0.010309278350515464,1.4168081375417267e-09,0.0,1,True,0.0,1e-07
1.0132485015067616,0.9015547996275672,0.006041262443163414,220.0,6,0.05407539117416313,0.06818765621456196,0.12793446204619086,0.03938336783849957,0.42268041237113396,5.279176825769745e-07,1.0246217037397312e-07,28,False,5.279176825769745e-07,1.0246217037397312e-07
2.0423123166357686,1.0,0.011899464513094916,260.0,7,0.01827575299855336,0.11092186302436624,0.06818261695614139,0.20615366703980909,0.26804123711340205,4.277474856147725e-08,2.7987646886655367e-08,19,False,4.277474856147725e-08,2.7987646886655367e-08
0.6493124843600478,0.7544541197763089,0.011047407894015059,234.2891845703125,8,0.02721464161628786,0.2186597715030035,0.17598801578532813,0.5319798440121496,0.15463917525773194,9.542166235670728e-09,1.1055197847606478e-08,10,False,9.542166235670728e-09,1.1055197847606478e-08
2.1201280259647395,0.5635462803092837,0.011279387530601207,191.01409912109372,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,1e-07
