sample,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
0,2.230600327402396e-07,7.321494722630918e-08,40,False,2.230600327402396e-07,7.321494722630918e-08
1,1.8300194664948933e-05,3.658613740139686e-05,4,False,1.8300194664948933e-05,3.658613740139686e-05
2,4.489409464037999e-08,5.061807616281641e-08,7,False,4.489409464037999e-08,5.061807616281641e-08
3,5.675108679951184e-07,1.1583464010153128e-07,32,False,5.675108679951184e-07,1.1583464010153128e-07
4,1.330332673193594e-07,3.201926614529024e-08,39,False,1.330332673193594e-07,3.201926614529024e-08
5,1.4168081375417267e-09,,1,True,0.0,1e-07
6,5.279176825769746e-07,1.0246217037397312e-07,28,False,5.279176825769746e-07,1.0246217037397312e-07
7,4.277474856147725e-08,2.7987646886655367e-08,19,False,4.277474856147725e-08,2.7987646886655367e-08
8,9.542166235670727e-09,1.1055197847606478e-08,10,False,9.542166235670727e-09,1.1055197847606478e-08
9,,,0,True,0.0,1e-07
10,,,0,True,0.0,1e-07
11,6.270577603269768e-07,1.2844958094721492e-07,30,False,6.270577603269768e-07,1.2844958094721492e-07
12,3.1063144163970244e-08,2.883467665747753e-08,10,False,3.1063144163970244e-08,2.883467665747753e-08
13,,,0,True,0.0,1e-07
14,3.4471448210940047e-07,5.5751861079932634e-08,45,False,3.4471448210940047e-07,5.5751861079932634e-08
15,7.288561685044672e-08,4.30556831832962e-08,9,False,7.288561685044672e-08,4.30556831832962e-08
16,3.221408860788783e-07,7.767901260621941e-08,26,False,3.221408860788783e-07,7.767901260621941e-08
17,1.219065503639995e-07,6.74793866368344e-08,38,False,1.219065503639995e-07,6.74793866368344e-08
18,8.980047445031154e-08,5.649512349413367e-08,32,False,8.980047445031154e-08,5.649512349413367e-08
19,,,0,True,0.0,1e-07
20,1.3693593448852136e-07,1.422757697718134e-07,20,False,1.3693593448852136e-07,1.422757697718134e-07
21,4.4309659797690424e-08,3.572702693223492e-08,21,False,4.4309659797690424e-08,3.572702693223492e-08
22,,,0,True,0.0,1e-07
23,6.462279471904813e-07,1.8861286042756735e-07,53,False,6.462279471904813e-07,1.8861286042756735e-07
24,3.5043544528272515e-07,7.739572042164988e-08,44,False,3.5043544528272515e-07,7.739572042164988e-08
25,1.792188975262671e-08,1.312906028834443e-08,5,False,1.792188975262671e-08,1.312906028834443e-08
26,2.7923639825153264e-07,5.658742274082508e-08,33,False,2.7923639825153264e-07,5.658742274082508e-08
27,3.631962215111573e-07,7.242470311784549e-08,42,False,3.631962215111573e-07,7.242470311784549e-08
28,2.220210088363198e-08,1.7306244757480794e-08,8,False,2.220210088363198e-08,1.7306244757480794e-08
29,1.2603137200112316e-07,1.0596645889404144e-07,33,False,1.2603137200112316e-07,1.0596645889404144e-07
30,,,0,True,0.0,1e-07
31,,,0,True,0.0,1e-07
32,4.0590180291083745e-08,1.3142561886401429e-08,27,False,4.0590180291083745e-08,1.3142561886401429e-08
33,1.849891238803988e-07,1.3113402984429464e-07,7,False,1.849891238803988e-07,1.3113402984429464e-07
34,1.1841564886619793e-07,1.0985326164824246e-07,7,False,1.1841564886619793e-07,1.0985326164824246e-07
35,5.806680315557346e-07,2.2447401764023346e-07,56,False,5.806680315557346e-07,2.2447401764023346e-07
36,4.4941112467344044e-08,2.6768956940214028e-08,20,False,4.4941112467344044e-08,2.6768956940214028e-08
37,,,0,True,0.0,1e-07
38,4.1607942021272694e-07,8.89348341738526e-08,32,False,4.1607942021272694e-07,8.89348341738526e-08
39,6.001912970601419e-07,1.5799664429794555e-07,39,False,6.001912970601419e-07,1.5799664429794555e-07
40,1.617882338056078e-07,1.6645481112653e-07,33,False,1.617882338056078e-07,1.6645481112653e-07
41,2.877733913293547e-07,2.2488356712955754e-07,42,False,2.877733913293547e-07,2.2488356712955754e-07
42,1.1877603560950337e-07,5.285809224628138e-08,30,False,1.1877603560950337e-07,5.285809224628138e-08
43,1.9456227516026632e-07,1.6964745817369234e-07,24,False,1.9456227516026632e-07,1.6964745817369234e-07
44,2.0399235363101882e-07,5.5868639085159246e-08,46,False,2.0399235363101882e-07,5.5868639085159246e-08
45,3.1693098054412505e-07,2.340495910433973e-07,36,False,3.1693098054412505e-07,2.340495910433973e-07
46,7.216163215331328e-08,4.2432911027303096e-08,23,False,7.216163215331328e-08,4.2432911027303096e-08
47,3.6197663809434385e-07,1.860778700143232e-07,44,False,3.6197663809434385e-07,1.860778700143232e-07
48,1.420485627750346e-07,7.488435390175585e-08,68,False,1.420485627750346e-07,7.488435390175585e-08
