sample,position,xrf_avg,xrf_std,cond,cond_nan,cond_nan_pass,xrf_avg_rel,xrf_avg_rel_pass,condxrf,condxrf_pass
0,0,250465.4624630629,311824.0831491184,0.0,,False,,False,,False
0,1,255308.9382123575,272235.4298222061,0.0,,False,,False,,False
0,2,276309.1826079228,275013.8784204068,0.0,,False,,False,,False
0,3,296705.1034237597,296939.5011029806,0.0,,False,,False,,False
0,4,255726.6324512875,284253.84695319977,0.0,,False,,False,,False
0,5,280015.10808949306,334767.84392077866,0.02498500141441877,0.02498500141441877,True,280015.10808949306,True,8.922733342814324e-08,True
0,6,295923.0376146992,285950.0509928446,0.027511876582350485,0.027511876582350485,True,295923.0376146992,True,9.296970186610406e-08,True
0,7,246448.4880801617,167778.40586956352,0.022900762359835874,0.022900762359835874,True,246448.4880801617,True,9.292311970843578e-08,True
0,8,230238.39676509128,90540.40082872957,0.024531754086477682,0.024531754086477682,True,230238.39676509128,True,1.0654936114546982e-07,True
0,9,303761.46992823645,225388.99129107184,0.0,,False,,False,,False
0,10,306943.0558332777,258007.83168762823,0.0,,False,,False,,False
0,11,228869.7815992357,220937.85690338406,0.0,,False,,False,,False
0,12,297762.6696882845,386902.0843778852,0.048110043339245234,0.048110043339245234,True,297762.6696882845,True,1.6157177590330467e-07,True
0,13,304516.8744028971,302502.01390084013,0.05147563360438195,0.05147563360438195,True,304516.8744028971,True,1.690403321829584e-07,True
0,14,219156.16876624664,102303.64308970157,0.05094150452531575,0.05094150452531575,True,219156.16876624664,True,2.3244385413421913e-07,True
0,15,212268.65737963511,31383.333944382885,0.0460428732160483,0.0460428732160483,True,212268.65737963511,True,2.169084865586266e-07,True
0,16,211762.09202603923,32404.175543829013,0.048604733427513085,0.048604733427513085,True,211762.09202603923,True,2.2952518537423792e-07,True
0,17,214268.2574596191,43612.99585606222,0.05341405672549932,0.05341405672549932,True,214268.2574596191,True,2.4928590617565325e-07,True
0,18,210340.15419138386,55419.799084400685,0.05057038335384804,0.05057038335384804,True,210340.15419138386,True,2.404219182412273e-07,True
0,19,220755.84883023388,153239.9478713265,0.04725365631072409,0.04725365631072409,True,220755.84883023388,True,2.140539268205899e-07,True
0,20,236992.601479704,250239.0351883392,0.0,,False,,False,,False
0,21,246217.4231820302,389958.906758033,0.03889481602668672,0.03889481602668672,True,246217.4231820302,True,1.5796938950957797e-07,True
0,22,331107.1119109511,384684.9128241261,0.053473537894060785,0.053473537894060785,True,331107.1119109511,True,1.6149921270323577e-07,True
0,23,270265.94681063783,204478.45367911394,0.05985254811749411,0.05985254811749411,True,270265.94681063783,True,2.214579706537349e-07,True
0,24,211202.2040036436,25027.20097523488,0.06032858827440628,0.06032858827440628,True,211202.2040036436,True,2.856437439136076e-07,True
