INPUT_fuel_oxidizer_ratio,INPUT_acac_amount,INPUT_concentration,INPUT_anneal_temperature,sample
2.3184931595696985,0.5275379477598804,0.005856724594115303,220.0,0
0.7239442860624128,0.7313330006187784,0.01127861373394053,260.0,1
2.063971412912908,1.0,0.011926395589248804,200.0,2
0.6525601479502984,0.0,0.005818824533383462,220.0,3
1.0525383000190447,0.12865458815624575,0.011864456747167582,260.0,4
0.6437676977954692,0.6855002402130457,0.011605771441710728,200.0,5
1.0132485015067616,0.9015547996275672,0.006041262443163414,220.0,6
2.0423123166357686,1.0,0.011899464513094916,260.0,7
0.6493124843600478,0.7544541197763089,0.011047407894015059,234.2891845703125,8
2.1201280259647395,0.5635462803092837,0.011279387530601207,191.01409912109375,9
1.2647808778723524,0.43627355723565875,0.006197547697945489,205.75057983398438,10
0.4760352002131872,0.003161327232805705,0.006008727762458066,263.44757080078125,11
0.18351631084851427,0.9794145522733569,0.007135125824731986,226.23049926757812,12
0.5662413660365836,0.4472778729425845,0.007705691923109479,181.0500030517578,13
1.700225167906734,0.4364719852998853,0.010151609737363105,261.66070556640625,14
0.4083173577916658,0.8859279036378206,0.009972425719053636,258.59295654296875,15
0.3192894100237961,0.8546553642375007,0.006506039906396173,200.2307891845703,16
1.555961848892651,0.7844684671889218,0.006628745232132132,191.37966918945312,17
1.22516904234653,0.8388251693268431,0.006027813441606176,187.7301025390625,18
0.677137989085406,0.0015994206845958159,0.006823829994651747,187.97076416015625,19
0.6161539878046057,0.685455629128544,0.008193314611046278,235.84002685546875,20
1.9138782140494752,0.8349009770548428,0.010236019850055228,206.0760040283203,21
1.9052461236346188,0.2639737768695874,0.00893651282466279,194.2229461669922,22
0.7871135572733367,0.7843903609949696,0.005931705305819456,278.2362060546875,23
1.828055230368973,0.36465678174117405,0.008200177819608367,243.98753356933594,24
0.474931799634747,0.39266189668558915,0.0108333062250077,265.2755126953125,25
1.5931866677417452,0.6225943564398634,0.006446742364642681,242.4893341064453,26
1.5989927708122915,0.4231594778853558,0.009479139573492194,256.02850341796875,27
1.0416879613227503,0.6514632343041622,0.009139424174762491,193.89022827148438,28
1.0674517008183622,0.6408553038760352,0.011161253506619652,253.3841552734375,29
1.46089427877499,0.6980747615101084,0.0064878662951265475,191.34103393554688,30
0.1440203001906288,0.03581573084009494,0.01031120243161888,237.27679443359375,31
1.3794401785290173,0.4209633525101907,0.008834437312906847,213.50131225585938,32
0.33192418369032806,0.64026652311587,0.010922764381737733,224.81103515625,33
0.3273602467903798,0.6527667287596904,0.008966852488563805,206.24172973632812,34
0.998532232373164,0.6245860404443553,0.006643857418732775,251.39657592773438,35
1.2199194589276987,0.28108540232232326,0.011163439834996909,210.88174438476562,36
1.242606750860436,0.5445101016393356,0.010860779323445544,191.74342346191406,37
1.0725072783189513,0.4819598362249935,0.007679300678646544,262.36358642578125,38
1.2082375171287603,0.6429538994408515,0.006393622456483556,262.9237060546875,39
0.31479771532678247,0.06356256417961614,0.007593067343586433,259.38018798828125,40
0.4714884432296481,0.5567277979093419,0.006172693637432339,245.83518981933594,41
1.6701389029788265,0.6745862710558332,0.00936318541639339,213.93008422851562,42
0.28527136414391335,0.00645709801970881,0.011828791835714867,238.73486328125,43
1.488420661973648,0.42112756011327457,0.009389331405494857,274.6422424316406,44
0.7809437389433864,0.6704617187127961,0.010766898902664229,249.60479736328125,45
1.8136629481465738,0.9107683610183774,0.010458892044832252,264.7651672363281,46
0.2529727121188095,0.11942516341163462,0.006728260387925812,245.66094970703125,47
1.1692402441089198,0.4098287660131987,0.009758697470529308,219.53761291503906,48
1.1582394311284356,0.8557005027071509,0.006712816190883493,210.98619079589844,49
0.4014082139553659,0.9930335402128955,0.006607534882364009,225.626708984375,50
2.1228945994446855,0.1564733908908031,0.007033235174489219,217.8981475830078,51
0.03852638395056559,0.36413523236284717,0.008737092798320056,241.0874786376953,52
1.2264739373489864,0.9178080463959097,0.007995803919483952,221.81253051757812,53
2.116031347760061,0.7973476320537287,0.006622863424590655,247.32650756835938,54
1.2724797958936152,0.37553189826321337,0.010563566992545136,229.0835723876953,55
0.9859593284102827,0.19994140520960624,0.011299847101182012,222.42608642578125,56
1.9717930486012019,0.27998273637010346,0.009350387247497129,193.2445068359375,57
2.267452823156593,0.6940803125987319,0.0061389244014229795,276.46014404296875,58
1.8970154172885165,0.5515398449835759,0.008988482417727699,203.6941375732422,59
0.19664367065200483,0.9604375890482534,0.008978010979419917,199.0947723388672,60
0.6387300650294385,0.8275339403146493,0.0060300007220529354,192.97093200683594,61
1.238585401318461,0.24739630271304922,0.0078693941319987,213.13778686523438,62
0.8560318699600269,0.4525086484491211,0.006997181685562873,213.22091674804688,63
