,x_(nm),baseline_dark,baseline_light,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1023,1025,1010.5754290105002,4013.290870226515,1009,-7.0,-1.9291704923523383,996.3863228890968
1,186.775442325,1027,1020,1018.0664731494911,2982.216908721252,999,4.0,-1.7342379111230353,1001.751114146674
2,187.3207793,1036,1030,1025.022811562941,2081.792835540937,1008,4.666666666666667,-1.5498224602180217,1006.969444729996
3,187.86601092499998,1035,1043,1031.462490743757,1307.399137048798,1009,-3.25,-1.3756745773280146,1012.0427361365442
4,188.41113719999998,1036,1048,1037.4035571848472,654.4162996080622,1004,-2.6666666666666665,-1.2115447001437305,1016.9724098638001
5,188.956158125,1034,1036,1042.8640573791195,118.22480958195774,1010,-12.0,-1.0571832663558867,1021.759887409245
6,189.50107369999998,1017,1021,1047.8620378194814,-305.7948466662874,1025,2.0,-0.9123407136551998,1026.4065902703605
7,190.045883925,1037,1030,1052.415544998841,-622.2621827734447,1036,0.14285714285714285,-0.7767674797323862,1030.913939944628
8,190.59058879999998,1057,1044,1056.5426254101055,-835.7967123762892,1039,1.3846153846153846,-0.6502140022781635,1035.2833579295288
9,191.135188325,1066,1058,1060.2613255461831,-951.0179491115905,1050,2.0,-0.5324307189832482,1039.5162657225444
10,191.67968249999998,1073,1071,1063.5896918999815,-972.5454066161219,1065,4.0,-0.4231680675383569,1043.6140848211564
11,192.22407132499998,1067,1064,1066.5457709644086,-904.9985985266549,1056,3.6666666666666665,-0.3221764856342064,1047.578236722846
12,192.7683548,1051,1054,1069.147609232372,-752.9970384799644,1037,-4.666666666666667,-0.22920641096151395,1051.4101429250945
13,193.312532925,1049,1054,1071.4132531967791,-521.1602401128184,1033,-3.2,-0.14400828121099618,1055.1112249253838
14,193.8566057,1063,1070,1073.360749350538,-214.10771706199102,1040,-3.2857142857142856,-0.06633253407337025,1058.682904221195
15,194.400573125,1078,1089,1075.0081441865566,163.5410170357436,1059,-1.7272727272727273,0.004070392760647579,1062.1266023100097
16,194.9444352,1083,1104,1076.3734841977425,607.1664485436168,1078,-0.23809523809523808,0.06745006160034017,1065.4437406893092
17,195.488191925,1088,1113,1077.4748158770035,1112.1490638248515,1087,-0.04,0.12405603475499105,1068.6357408565748
18,196.0318433,1097,1113,1078.3301857172473,1673.869349242682,1087,-0.625,0.17413787453388285,1071.7040243092883
19,196.575389325,1091,1097,1078.9576402113817,2287.7077911603274,1084,-1.1666666666666667,0.21794514324629932,1074.6500125449309
20,197.11883,1076,1083,1079.3752258523143,2949.0448759410265,1071,-0.7142857142857143,0.25572740320152243,1077.475127060984
21,197.662165325,1076,1099,1079.6009891329531,3653.2610899480005,1067,-0.391304347826087,0.2877342167088368,1080.1807893549292
22,198.2053953,1085,1103,1079.6529765462058,4395.736919544472,1077,-0.4444444444444444,0.3142151460775249,1082.7684209242477
23,198.74851992499998,1081,1079,1079.54923458498,5171.852851093673,1062,9.5,0.3354197536168704,1085.2394432664212
24,199.2915392,1075,1073,1079.3078097421837,5976.989370958842,1062,6.5,0.3515976016361553,1087.5952778789308
25,199.83445312499998,1102,1105,1078.9467485107043,6806.526965503052,1093,-3.0,0.36299825244465966,1089.8373462592376
26,200.3772617,1110,2191,1079.2247616027335,7533.302090647436,1110,0.0,0.2001095885713157,1091.7061541597561
27,200.919964925,1090,6555,1079.1299236675595,8274.074090013206,1105,0.0027447392497712718,0.35324743432839434,1093.1202065731743
28,201.4625628,1069,11597,1078.705791750642,9030.422614328578,1105,0.003419452887537994,0.5519300357354231,1094.7770277922282
29,202.005055325,1060,13679,1078.6160728442117,9800.545471018408,1094,0.0026943497899992075,0.5228341176214346,1096.9765793109486
30,202.5474425,1062,14561,1078.7949896939701,10581.573625676483,1094,0.002370545966367879,0.49497739762848864,1098.6967315227769
31,203.089724325,1069,15223,1078.2895875331055,11370.77322249633,1112,0.0030380104564080826,0.1497121606179273,1099.7614442003005
32,203.63190079999998,1073,15859,1076.9164873496363,12167.445695259004,1121,0.003246314080887326,0.18671787464559286,1100.8937461776954
33,204.173971925,1078,16349,1076.433509252737,12970.93109696684,1114,0.0023574094689280335,0.1733280605062725,1102.5931051665737
34,204.71593769999998,1079,16704,1076.4973159074743,13771.801014745259,1106,0.001728,0.19930779043485486,1104.5636367754437
35,205.257798125,1077,16936,1076.6485990622457,14564.088722281087,1097,0.001261113563276373,0.2518322484427946,1106.6660626514545
36,205.7995532,1073,17270,1077.0445310199345,15343.725339191988,1109,0.002222633821077977,0.37977452801802997,1108.9097374798764
37,206.34120292499998,1071,17777,1077.2022922376293,16109.91773313068,1117,0.0027535017359032682,0.5199646012902177,1110.5632517157594
38,206.88274729999998,1070,18374,1076.6241364470109,16860.884346190986,1101,0.0017914932963476653,0.41201095545364064,1111.2984212552733
39,207.424186325,1054,18694,1075.636730163743,17588.256087340258,1097,0.002437641723356009,0.3243730732259299,1111.5017780696971
40,207.96552,1047,18896,1075.1217241613422,18290.50508505254,1104,0.003193456216034512,0.2144735491894782,1111.701261636709
41,208.506748325,1058,19204,1075.1503771319642,18970.00289927255,1097,0.0021492339909621955,0.13437175966993864,1112.4823665314968
42,209.0478713,1078,19572,1075.0752451923959,19621.71340234169,1127,0.0026495079485238456,0.09043456568810163,1113.5973861242396
43,209.588888925,1088,20060,1074.9419465899362,20239.640467507368,1141,0.0027935905545013705,0.049356367762853334,1114.7016919975324
44,210.12980119999997,1074,20413,1075.3570409295587,20823.341661192382,1114,0.002068359274005895,-0.013113746227470302,1115.9074724229101
45,210.670608125,1067,20765,1076.0382341615687,21359.429975763476,1096,0.0014722306833181034,-0.0991009073369523,1116.9750390722113
46,211.2113097,1068,21093,1076.4528075380888,21843.608416951265,1087,0.0009488139825218477,-0.17976875613739066,1117.6295952342987
47,211.751905925,1084,21229,1076.528483091329,22273.928016489186,1095,0.0005460412012906428,-0.2568500681194065,1117.9486058574157
48,212.29239679999998,1101,21497,1076.6288024643613,22640.968040045773,1116,0.0007354383212394587,-0.340769273683194,1118.1125959817675
49,212.83278232499998,1085,21905,1076.7174794445873,22948.85741466354,1123,0.001825168107588857,-0.10787994062930818,1117.8103467802
50,213.37306249999997,1077,22297,1076.4702711272985,23200.644272803016,1132,0.0025918944392082943,0.08183877856331563,1117.1814310629698
51,213.91323732499998,1074,22770,1076.4103603705428,23390.847606966865,1138,0.0029498525073746312,0.0018519686235575724,1116.8832363133718
52,214.45330679999998,1084,23332,1076.961063670731,23553.209631021764,1140,0.0025170801869830997,0.001765196676177888,1117.3312645812828
53,214.993270925,1101,23784,1076.5204194885296,23795.56143966975,1136,0.0015430057752501875,0.0017437400631210279,1116.7422591677966
54,215.5331297,1086,24214,1075.0122539581664,24159.694534417078,1111,0.0010809408509166378,0.0017447311375661087,1115.5933769734095
55,216.07288312499998,1072,24641,1074.3222949556975,24570.40687218236,1111,0.001654715940430226,0.0017347423291273966,1115.4026365262873
56,216.61253119999998,1087,25043,1074.643162925527,24991.90692880878,1129,0.0017532142260811487,0.00170953689644851,1115.8637341728931
57,217.152073925,1093,25348,1075.201839226236,25427.32027905453,1135,0.0017316017316017316,0.0017162963453779215,1117.2333235180652
58,217.69151129999997,1075,25563,1075.5859702371308,25881.2386917026,1121,0.001878471087879778,0.0017388007651935604,1118.7786359826737
59,218.230843325,1070,25978,1076.0440780085412,26354.608462252327,1107,0.0014854665167817569,0.0017291806243098483,1119.721216788581
60,218.77006999999998,1072,26498,1076.0757208543587,26842.809984370593,1105,0.001297884055691025,0.001713021595306866,1120.4070986885106
61,219.30919132499997,1068,27069,1075.8328387958752,27337.081202291713,1109,0.0015768624283681396,0.001679839819698855,1120.5402613875524
62,219.84820729999998,1067,27551,1075.8184556841397,27837.50855058952,1115,0.0018124150430448573,0.0016681785142126841,1121.133728963262
63,220.38711792499998,1071,27974,1075.7675145529704,28353.28376633618,1120,0.0018213582128387168,0.0016755328678663313,1122.0407030736608
64,220.9259232,1077,28584,1075.4995809644406,28894.73066207559,1125,0.0017450103609990184,0.001659266356152051,1122.4304287752623
65,221.464623125,1070,29169,1074.7868807900313,29452.773449001677,1123,0.0018861881205736858,0.0016631782061723285,1122.7538336088937
66,222.0032177,1063,29560,1073.3458741987156,30015.24818229121,1114,0.0017896620696915464,0.0017008228257881968,1123.0649844843383
67,222.54170692499997,1070,29982,1072.2096310221996,30579.960678610478,1116,0.0015910348644161594,0.0017091240893968896,1123.096967088701
68,223.0800908,1078,30471,1071.6816235928127,31146.617998142057,1123,0.0015309767631749055,0.0017356119697120732,1124.071779655237
69,223.61836932499997,1071,30824,1071.3792611383972,31713.657659289525,1118,0.0015796726380533056,0.001773334630340807,1125.5113819112335
