sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction,INPUT_fuel_oxidizer_ratio,INPUT_acac_amount,INPUT_concentration,INPUT_anneal_temperature,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
0,0.018009122382693938,0.0192357206831695,0.03565071165553697,0.010175431361485902,0.5051546391752577,2.3120159198661647,0.5180244972036533,0.005813199265951754,220.0,1.7559422733929412e-07,3.63103483089396e-08,41,False,1.7559422733929412e-07,3.63103483089396e-08
1,0.020582230550328567,0.062349280254804886,0.13309842422545806,0.10081172399221927,0.15463917525773194,0.4760779084075356,0.6665852711027156,0.011920879380418605,260.0,3.224657552684232e-07,9.760303952063212e-08,9,False,3.224657552684232e-07,9.760303952063212e-08
2,0.006099050152825649,0.014704971419898506,0.025722081079308172,0.020179380850619176,0.2371134020618557,2.06649948516957,1.0,0.011851456161076602,200.0,7.485956218134814e-08,5.5543025957879505e-08,22,False,7.485956218134814e-08,5.5543025957879505e-08
3,0.06481027081064322,0.06350137267311658,0.11861502393646026,0.0315918546665521,0.5463917525773195,0.5809064846459454,0.0,0.005917024845260163,220.0,5.246772463488111e-07,9.078985123348996e-08,35,False,5.246772463488111e-07,9.078985123348996e-08
4,0.11035604715253253,0.08306388054029581,0.1551382112144298,0.05245974125642999,0.711340206185567,1.0014959168585795,0.12820862409890546,0.011394504344554293,260.0,3.2417390890734483e-07,1.1488423430352244e-07,55,False,3.2417390890734483e-07,1.1488423430352244e-07
5,0.0009463632310947124,0.004373449829984375,0.010199692601798566,0.010571949863112622,0.09278350515463918,0.5451901811245571,0.6367573950518375,0.011120457995820794,200.0,2.4449893941808985e-08,2.6080814577281935e-08,8,False,2.4449893941808985e-08,2.6080814577281935e-08
6,0.07268670685763441,0.08567362045565519,0.1195018739862803,0.08045437748186121,0.6082474226804123,1.1806970572816131,0.8388393814360828,0.005791496681547922,220.0,4.99095781380586e-07,1.2870791714672234e-07,45,False,4.99095781380586e-07,1.2870791714672234e-07
7,0.00278686129790418,0.010301205124148078,0.01930896756405039,0.020400964305270317,0.14432989690721648,1.9290329357291047,1.0,0.011410295144428498,260.0,5.1235028973889456e-08,4.9584520303216907e-08,11,False,5.1235028973889456e-08,4.9584520303216907e-08
8,0.0,0.0,0.0,0.0,0.0,1.3341058644876205,0.7737148022660747,0.010409561847565595,192.4252471923828,0.0,0.0,0,True,0.0,1e-07
9,0.0,0.0,0.0,0.0,0.0,1.674706919753092,0.6841313849680494,0.010234083968788577,190.64280700683597,0.0,0.0,0,True,0.0,1e-07
10,0.0,0.0,0.0,0.0,0.0,1.0282961497778431,0.3860803321109593,0.0064156272182329405,203.1641845703125,0.0,0.0,0,True,0.0,1e-07
11,0.0,0.0,0.0,0.0,0.0,0.6452136388437372,0.011178907126504356,0.006409696801310353,195.52264404296875,0.0,0.0,0,True,0.0,1e-07
12,0.12389759403685575,0.4822783585658669,0.3248126113939192,0.7379089192460009,0.38144329896907214,0.17336365472451393,0.019415474663390938,0.00675283350350961,223.2492218017578,2.795299757556312e-07,2.271755885604884e-07,22,False,2.795299757556312e-07,2.271755885604884e-07
13,0.02735425976612672,0.07463170551222302,0.08559236120368682,0.11155103523578706,0.31958762886597936,1.2406769928337964,0.983689658356342,0.0074901679902920956,207.5825958251953,1.821394898326932e-07,1.2265264497180044e-07,22,False,1.821394898326932e-07,1.2265264497180044e-07
14,0.07973375889337855,0.09407456726892452,0.1459278228803343,0.08085578809942351,0.5463917525773195,0.8152226454050628,0.7914589896444978,0.006114038432686801,226.48399353027344,4.394536171801776e-07,2.2862210371064658e-07,44,False,4.394536171801776e-07,2.2862210371064658e-07
15,0.030356219313942275,0.03442440035221486,0.06543451718783112,0.016096168702472557,0.4639175257731959,1.3845162503480504,0.23643772735376156,0.006117746431006453,221.90789794921875,2.842862232904764e-07,5.631359305274885e-08,31,False,2.842862232904764e-07,5.631359305274885e-08
16,0.0,0.0,0.0,0.0,0.0,2.094132362599024,0.13234564372199553,0.01002517796207375,181.17393493652344,0.0,0.0,0,True,0.0,1e-07
17,0.0,0.0,0.0,0.0,0.0,0.9445857077935921,0.007982340566448433,0.010539466942366349,184.88221740722656,0.0,0.0,0,True,0.0,1e-07
18,0.0,0.0,0.0,0.0,0.0,0.3921738108584888,0.5063462187842515,0.009020071481798788,180.9746856689453,0.0,0.0,0,True,0.0,1e-07
19,0.0,0.0,0.0,0.0,0.0,0.8476334559733119,0.046519225892203434,0.007485153799340342,203.1106719970703,0.0,0.0,0,True,0.0,1e-07
20,0.06752180846897436,0.06947539466912526,0.11908391675437295,0.048708889511458166,0.5670103092783505,1.0628781397119968,0.4211705514771816,0.009839548868641305,263.54913330078125,3.2792426796014245e-07,1.246768481330524e-07,49,False,3.2792426796014245e-07,1.246768481330524e-07
21,0.012359867984225064,0.03216704303334221,0.05994535972349156,0.04653875878220808,0.20618556701030927,1.0508060880032328,0.9461780117909828,0.009919132140173596,268.66552734375,1.3308243272769885e-07,9.399068665340684e-08,14,False,1.3308243272769885e-07,9.399068665340684e-08
22,0.0,0.0,0.0,0.0,0.0,1.763791611456933,0.013988510540355452,0.007479091421899594,189.9866943359375,0.0,0.0,0,True,0.0,1e-07
23,0.03401120993259588,0.0265702142129076,0.05154824005409064,0.012883798580695736,0.6597938144329897,1.6500829281379457,0.4819745511103814,0.009325548523348891,242.27291870117188,1.650762388456924e-07,4.23430277924583e-08,51,False,1.650762388456924e-07,4.23430277924583e-08
24,9.648245476385003e-05,0.0004638633516310503,0.0015597996853489089,0.0010936576808037862,0.061855670103092786,1.6312391146780674,0.6245790031480124,0.009587372016685532,204.20494079589844,3.7630870050655225e-09,3.03776462304098e-09,5,False,3.7630870050655225e-09,3.03776462304098e-09
25,0.11262299121841275,0.3094861155906744,0.15832507461139184,0.35695068042098,0.711340206185567,0.8636334285769811,0.5700251763650646,0.009101661054736405,223.5924835205078,7.913493832988614e-08,1.2311519238610336e-07,30,False,7.913493832988614e-08,1.2311519238610336e-07
26,0.08230677899332017,0.09155580941740343,0.16986718217770333,0.049257938988044994,0.4845360824742268,0.9572675309658348,0.5703800507544642,0.006259418245753018,260.14529418945307,6.128505740036949e-07,9.368844656611396e-08,37,False,6.128505740036949e-07,9.368844656611396e-08
27,0.05488298465315433,0.053742979277568007,0.10044621719539563,0.02663632717284604,0.5463917525773195,1.205141642822099,0.5420777601532766,0.008186934259582836,216.8784942626953,3.3564565167894023e-07,8.312560625380683e-08,41,False,3.3564565167894023e-07,8.312560625380683e-08
28,0.0,0.0,0.0,0.0,0.0,1.798591394197721,0.5233461359873346,0.006535287523580906,185.0791015625,0.0,0.0,0,True,0.0,1e-07
29,0.40139620889354255,3.3214785418587973,1.216732258208551,5.69643487677638,0.32989690721649484,0.22379283541591746,0.15130610534567787,0.008887417558660366,219.84620666503903,4.4629117410655605e-08,7.356159248907501e-08,12,False,4.4629117410655605e-08,7.356159248907501e-08
30,0.025544040653145927,0.037529634635376834,0.06194429858387888,0.03406992417339372,0.4123711340206185,0.3393128028427282,0.4189584574635216,0.00933120107415196,218.6456298828125,2.918145681723969e-07,1.053422925355917e-07,26,False,2.918145681723969e-07,1.053422925355917e-07
31,0.055657757713926184,0.11105234636802726,0.08180003785228546,0.12643883927896266,0.6804123711340206,1.7660653359377714,0.7525945324864363,0.00960334486341982,232.6373748779297,1.2463279590244134e-07,9.765956559355932e-08,47,False,1.2463279590244134e-07,9.765956559355932e-08
32,0.0,0.0,0.0,0.0,0.0,0.9900452600337256,0.37567166886645337,0.006665024584549331,181.48265075683597,0.0,0.0,0,True,0.0,1e-07
33,0.09593072191269683,0.12249867321799712,0.12407040034042124,0.12616006402440086,0.7731958762886598,0.753038230264995,0.4124672928034153,0.010677343938128595,252.29083251953125,2.86623080129384e-07,8.806016190871738e-08,55,False,2.86623080129384e-07,8.806016190871738e-08
34,0.0,0.0,0.0,0.0,0.0,0.9178364863775802,0.604432207378639,0.007845174898386056,192.7153778076172,0.0,0.0,0,True,0.0,1e-07
35,0.0043738065127264004,0.008256012887777723,0.010606480793361524,0.0099591917743765,0.4123711340206185,0.7396215230359218,0.3959023760614581,0.010964814185425751,205.5094451904297,2.9745610288707423e-08,1.912326155345408e-08,31,False,2.9745610288707423e-08,1.912326155345408e-08
36,0.015270812802216647,0.016112018801254274,0.027948468713490843,0.010990482028863423,0.5463917525773195,1.8759134342987211,0.678002237373724,0.007298097051297091,240.7494659423828,1.2022098584047768e-07,5.0275102007509494e-08,46,False,1.2022098584047768e-07,5.0275102007509494e-08
37,0.0981053962829252,0.4413235465065172,0.15105116570545632,0.5402601383990668,0.6494845360824743,0.41708367073648944,0.7184887999325112,0.00740045814302168,214.9920654296875,2.1607925369651213e-07,1.883031952698564e-07,51,False,2.1607925369651213e-07,1.883031952698564e-07
38,0.06295434087920898,0.2026664684486021,0.2105714160442507,0.3260375740509563,0.29896907216494845,0.10070898620309901,0.1049392431694812,0.006850047137647752,247.42330932617188,5.173060834074623e-07,1.4480438486432766e-07,22,False,5.173060834074623e-07,1.4480438486432766e-07
39,0.0,0.0,0.0,0.0,0.0,1.391718211982676,0.3321105350647942,0.009561656814577586,186.1689300537109,0.0,0.0,0,True,0.0,1e-07
40,0.0,0.0,0.0,0.0,0.0,0.7282953955441686,0.03761483929523885,0.007334585894930406,190.2448883056641,0.0,0.0,0,True,0.0,1e-07
