sample,position,xrf_avg,xrf_std
25,0,264800.37325868156,443674.98671851616
25,1,299788.9311026683,497157.42975813505
25,2,200484.3475749294,393376.3912826776
25,3,100948.69914905906,111437.3770220116
25,4,86951.49858917102,14349.022400958882
25,5,395476.46026350284,514175.16827910306
25,6,423222.02226221416,477219.73187214765
25,7,429105.2900531004,490728.2087273021
25,8,413677.2645470905,474871.4060027096
25,9,350107.75622653245,397402.2864977753
25,10,295967.4731720322,379290.8412430495
25,11,239134.39534315353,347067.5081166587
25,12,482747.89486547135,567481.6784756626
25,13,509373.6808193916,450158.32506247464
25,14,409491.4350463239,307506.6160824152
25,15,390997.35608433856,300528.3521219943
25,16,470305.93881223747,362102.3439751126
25,17,492896.97616032336,333546.08693711367
25,18,408922.6599124618,343370.56518753804
25,19,326210.31349285686,335512.0183582703
25,20,276753.5381812526,333775.31526510033
25,21,372361.08333888766,468882.5712217608
25,22,530507.2318869559,437527.4818561594
25,23,376173.6541580572,236447.27766291777
25,24,301290.8529405229,123077.46071062589
25,25,332662.3564176052,137248.53285284995
25,26,377053.4781932501,122098.23749545013
25,27,378635.3840343042,113771.2550078776
25,28,333542.1804527982,115082.60805806104
25,29,302863.8716701104,161243.65999525777
25,30,315785.7317425403,284112.38269079186
25,31,327152.34730831604,395156.3603555787
25,32,359350.35215179186,327708.3159404882
25,33,471399.0535226288,255310.66161568806
25,34,323713.03517074353,111610.74521182103
25,35,335630.65164744813,138414.3699678425
25,36,395165.41136217193,131458.9596928751
25,37,417667.5775955919,89885.52825728316
25,38,365651.314181608,114149.4943513234
25,39,334901.9085071874,107756.50835431795
25,40,313021.8400764291,104391.11333121089
25,41,263618.38743362424,151765.46974745402
25,42,361669.88824457326,390730.59396821493
25,43,474038.52562820766,500135.18874689634
25,44,587882.4235152969,444359.9102190102
25,45,340509.67584260914,180866.26686147574
25,46,367988.62449732266,146211.76312788468
25,47,418760.69230598316,127410.28050781503
25,48,416201.2042036037,102875.57092217503
25,49,365740.185296274,110582.76901239263
25,50,316736.6526694659,103891.32134133324
25,51,300624.3195805282,90018.89225264096
25,52,285907.26299184596,104320.96113961226
25,53,369721.61123330885,306210.3483388421
25,54,542673.6874847251,559947.8418738218
25,55,688066.8310782287,505017.69580257963
25,56,412708.5693972316,312995.7140778099
25,57,433868.7817991956,279813.4954063843
25,58,480463.90721855627,242356.19904889938
25,59,449696.72732120234,189511.43177853743
25,60,389291.03068275226,136065.47398479312
25,61,324477.3267568707,121823.95346494974
25,62,299291.2528605389,146995.81805699138
25,63,310657.8684263147,157571.86066223105
25,64,370841.38727809984,280756.8856386503
25,65,408051.7229887355,448391.0162901988
25,66,614445.9996889511,434636.1733054527
25,67,512164.2338199026,386859.77482155745
25,68,479877.35786176095,365911.7586863698
25,69,476464.7070585882,317510.7861946713
25,70,424635.0729854029,239848.07601938164
25,71,365242.5070541447,160524.629187484
25,72,321064.67595369805,173241.61487442424
25,73,318283.0100646537,223238.18207613673
25,74,325472.6832411295,230647.74099493632
25,75,385442.9114177164,351973.06331074063
25,76,375231.6203425981,307430.590311017
25,77,401830.7449621187,333446.3704217158
25,78,374191.8283010064,312622.1943008527
25,79,401030.90493012505,316215.8334744697
25,80,416627.7855540003,301038.2127542226
25,81,383558.8437867982,260076.34719422008
25,82,345486.4582639028,246002.82244018343
25,83,314825.923704148,240444.64805678892
25,84,329516.3189584305,250683.7968470103
25,85,231891.39949787816,169709.64415701738
