Unnamed: 0,Current,Voltage,sample,position
0,0.0,0.0009012219999999999,25,0
1,0.0002,10.0021,25,0
2,0.0004,10.002,25,0
3,0.0006,10.0019,25,0
4,0.0008,10.0019,25,0
5,0.001,10.0019,25,0
0,0.0,5.10755,25,1
1,0.0002,10.0018,25,1
2,0.0004,10.0016,25,1
3,0.0006,10.0016,25,1
4,0.0008,10.0016,25,1
5,0.001,10.0016,25,1
0,0.0,0.0155306,25,10
1,0.0002,10.0022,25,10
2,0.0004,10.0021,25,10
3,0.0006,10.0019,25,10
4,0.0008,10.0019,25,10
5,0.001,10.0019,25,10
0,0.0,5.50175,25,11
1,0.0002,10.0019,25,11
2,0.0004,10.0017,25,11
3,0.0006,10.0016,25,11
4,0.0008,10.0016,25,11
5,0.001,10.0016,25,11
0,0.0,0.000145435,25,12
1,0.0002,0.00150204,25,12
2,0.0004,0.00281811,25,12
3,0.0006,0.00411987,25,12
4,0.0008,0.00544071,25,12
5,0.001,0.00674963,25,12
0,0.0,0.000121593,25,13
1,0.0002,0.00154972,25,13
2,0.0004,0.00290871,25,13
3,0.0006,0.00426054,25,13
4,0.0008,0.00562429,25,13
5,0.001,0.00696659,25,13
0,0.0,0.000143051,25,14
1,0.0002,0.00166178,25,14
2,0.0004,0.00309944,25,14
3,0.0006,0.00453234,25,14
4,0.0008,0.00600576,25,14
5,0.001,0.00743389,25,14
0,0.0,0.000174046,25,15
1,0.0002,0.00127316,25,15
2,0.0004,0.00230074,25,15
3,0.0006,0.00333786,25,15
4,0.0008,0.00438452,25,15
5,0.001,0.00542402,25,15
0,0.0,0.000162125,25,16
1,0.0002,0.00145912,25,16
2,0.0004,0.00278234,25,16
3,0.0006,0.00400782,25,16
4,0.0008,0.00530243,25,16
5,0.001,0.00654936,25,16
0,0.0,0.00011920899999999999,25,17
1,0.0002,0.00152826,25,17
2,0.0004,0.00282526,25,17
3,0.0006,0.00411749,25,17
4,0.0008,0.00543356,25,17
5,0.001,0.00673771,25,17
0,0.0,0.000133514,25,18
1,0.0002,0.00170469,25,18
2,0.0004,0.00328302,25,18
3,0.0006,0.00477314,25,18
4,0.0008,0.0063013999999999995,25,18
5,0.001,0.00781775,25,18
0,0.0,0.00102282,25,19
1,0.0002,10.0022,25,19
2,0.0004,10.0021,25,19
3,0.0006,10.0019,25,19
4,0.0008,10.0019,25,19
5,0.001,10.0019,25,19
0,0.0,5.01412,25,2
1,0.0002,10.0018,25,2
2,0.0004,10.0016,25,2
3,0.0006,10.0015,25,2
4,0.0008,10.0016,25,2
5,0.001,10.0016,25,2
0,0.0,0.000977516,25,20
1,0.0002,10.0021,25,20
2,0.0004,10.002,25,20
3,0.0006,10.0018,25,20
4,0.0008,10.0018,25,20
5,0.001,10.0018,25,20
0,0.0,0.00014782,25,21
1,0.0002,0.00263453,25,21
2,0.0004,0.00509262,25,21
3,0.0006,0.00748396,25,21
4,0.0008,0.00986814,25,21
5,0.001,0.012314299999999999,25,21
0,0.0,0.000135899,25,22
1,0.0002,0.00113726,25,22
2,0.0004,0.00210285,25,22
3,0.0006,0.003016,25,22
4,0.0008,0.00400782,25,22
5,0.001,0.00492811,25,22
0,0.0,9.05991e-05,25,23
1,0.0002,0.0007867810000000001,25,23
2,0.0004,0.00147104,25,23
3,0.0006,0.00208378,25,23
4,0.0008,0.00272512,25,23
5,0.001,0.00332355,25,23
0,0.0,6.4373e-05,25,24
1,0.0002,0.000524521,25,24
2,0.0004,0.0009059910000000001,25,24
3,0.0006,0.00128269,25,24
4,0.0008,0.00166893,25,24
5,0.001,0.00204802,25,24
0,0.0,0.000133514,25,25
1,0.0002,0.00185966,25,25
2,0.0004,0.00353813,25,25
