,x_(nm),baseline_dark,baseline_light,baseline_mirror,baseline_calibration,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
103,241.85715592499997,1104,40030,0.864426750181391,2.2206924682253277e-05,1091.558948107524,40214.65113592529,3916,0.062445872206496215,0.06231601758023017,3912.5557996782863
104,242.3917472,1099,39820,0.8640504083213235,2.2314775143238127e-05,1092.4533511517607,40114.77299599008,3891,0.06230285219992085,0.06225122913403626,3904.0352669368885
105,242.92623312499998,1088,39723,0.8638615542876957,2.2359558801286287e-05,1093.911390971462,40021.411900608546,3856,0.061891258761960444,0.06218429965125067,3896.347233232841
106,243.46061369999998,1089,39326,0.8647030136247108,2.2614300641386898e-05,1094.9293755237734,39954.07501868595,3820,0.061759655051627615,0.06212262354434236,3890.260753357873
107,243.994888925,1082,39081,0.863747888775786,2.273080577846222e-05,1095.5869895127653,39912.5300459799,3806,0.06191871494053109,0.062047129624033526,3885.0448707784253
108,244.52905879999997,1078,39255,0.8628771528607923,2.2602015686428798e-05,1095.7612176946038,39888.20913270892,3814,0.06183911491806919,0.06197711051004664,3880.842487938497
109,245.063123325,1089,39404,0.8633129275796555,2.2531982972195107e-05,1095.9066117012633,39883.55441799285,3839,0.06196295317353655,0.06193283305468377,3879.1756098665137
110,245.59708249999997,1100,39168,0.8623491049005171,2.2652860799109936e-05,1096.2580126389971,39908.38451606981,3846,0.062204755754355884,0.06187539739013582,3879.044757525577
111,246.130936325,1100,38870,0.862505803534046,2.2835737451258832e-05,1096.4318557611514,39977.13705859626,3830,0.06234156324193661,0.06182119772505496,3882.0190038278715
112,246.66468479999997,1095,38897,0.8631762817630669,2.2834143213667713e-05,1096.2243538924795,40094.05014836047,3821,0.06224587440045819,0.06177784778617647,3888.6714308364108
113,247.19832792499997,1095,39181,0.8629529675416884,2.2658009965385927e-05,1095.680513714899,40259.480350630045,3830,0.06196965725533051,0.06173813833839915,3898.664409159815
114,247.7318657,1091,39767,0.8621360146885437,2.2291240425290717e-05,1095.013386486649,40470.44927404847,3848,0.061456949852526505,0.06169116249100806,3911.327006274133
115,248.265298125,1089,39991,0.8624878814902607,2.217078508791992e-05,1094.544134634965,40720.257808783106,3857,0.061368733123362336,0.061644960557262755,3926.961380778652
116,248.79862519999998,1090,39909,0.862427427307537,2.2216631734654086e-05,1094.026931527307,40999.292350901844,3856,0.0614512033780532,0.061604765316693524,3944.911481573686
117,249.33184692499998,1084,40154,0.8621956715984717,2.2067972142269557e-05,1093.508505288887,41299.89761942434,3875,0.06159171024907433,0.0615681092028029,3964.6732881831213
118,249.8649633,1093,40697,0.8614594306460737,2.175182887198449e-05,1093.3808013771336,41640.50721420564,3931,0.061731690338691976,0.0615282425841914,3987.4994450609674
119,250.397974325,1104,41147,0.861591555373828,2.1516658476483482e-05,1092.9252304695256,42024.75356180127,3967,0.06160219321817221,0.06148977241568524,4013.047973906467
120,250.93087999999997,1109,41738,0.861950076569216,2.1215143778316373e-05,1092.173503363589,42453.85451539025,4015,0.06165120781978738,0.061446783326441407,4041.1355863099184
121,251.46368032499998,1102,42680,0.8619606849508069,2.073117237363045e-05,1091.9284921515568,42925.36297537801,4073,0.06159231312205607,0.061395733865924236,4072.3787628258065
122,251.99637529999998,1101,43524,0.8604590983713026,2.0282844173474355e-05,1091.9511200706488,43421.54533511435,4104,0.06090938105294349,0.06134791908908796,4105.775283698306
123,252.52896492499997,1096,44140,0.8610083925812316,2.000298282179239e-05,1092.1670253006653,43940.44682778689,4136,0.06080906777824887,0.06129357032759764,4140.533149108621
124,253.06144919999997,1095,44545,0.8623041179284238,1.984589454380722e-05,1092.5073501098343,44482.61761308211,4180,0.06122458466764527,0.061233607531392134,4176.67847516357
125,253.593828125,1092,45119,0.8617580796532812,1.9573399951240858e-05,1093.0775328999316,45050.85551201526,4240,0.06161706304650622,0.061181944491387724,4215.106095268215
126,254.1261017,1087,45799,0.8612979531106192,1.9263239244735624e-05,1093.7855217558513,45637.09037577208,4285,0.06160383910466453,0.06114035012283209,4255.6055403292585
127,254.65826992499998,1086,46166,0.8605676587718385,1.9089788348976008e-05,1094.6178395886445,46231.698475615776,4298,0.06131640017691094,0.06110262523283618,4296.971641486701
128,255.19033279999996,1087,46702,0.8603919292995054,1.8862039445347044e-05,1095.1520985752584,46829.433124192175,4307,0.06073576701401748,0.061063699940997855,4337.984439058559
129,255.722290325,1097,47547,0.8605168034000626,1.8525657769646127e-05,1095.6885093659896,47428.7664499753,4364,0.0605233239334339,0.061025242436744176,4379.129765113508
130,256.2541425,1101,48199,0.8610047175468075,1.8281131206140547e-05,1096.241341819726,48032.82407302451,4422,0.06071163673559275,0.0609801483134973,4420.07406736271
131,256.78588932499997,1092,48508,0.8608110635514169,1.815444287901588e-05,1096.481166051305,48630.54057849461,4432,0.06063583921591304,0.06091925600906317,4459.4673039026075
132,257.3175308,1092,49224,0.8603776873075648,1.787537786311736e-05,1096.6159822419322,49200.18473804522,4487,0.06068690784528344,0.06085500081285369,4496.480871593834
133,257.849066925,1091,50241,0.8608787463788221,1.751533563334328e-05,1096.4042673673032,49735.18297130077,4568,0.060900821997134584,0.06079667973012855,4531.003850596756
134,258.3804977,1086,51176,0.860850738903281,1.7186079834363764e-05,1096.01934358647,50249.85197852629,4616,0.06066686181530409,0.06073593764403939,4563.768692382526
135,258.91182312499996,1085,51819,0.8605187068077428,1.6961381062162313e-05,1095.8574373145275,50750.64871231414,4680,0.06097616491847351,0.06067552153704358,4595.551677274595
136,259.4430432,1088,52019,0.8605653180041651,1.689668999242436e-05,1095.6895286416243,51217.99825590515,4693,0.06091256742268982,0.06063738532166977,4626.150014722782
137,259.974157925,1093,52213,0.8603647050277539,1.6830295481763572e-05,1095.6595166368224,51648.269858885964,4688,0.06050491225694004,0.060616907792122414,4655.043738249927
138,260.5051673,1096,52396,0.8606073755553446,1.6775972233047654e-05,1095.8555120161059,52052.68737683653,4701,0.060477379900136796,0.06059150596265315,4681.796937642891
139,261.03607132499997,1106,52551,0.8606220713663582,1.6728974076515855e-05,1096.0189132256467,52423.32673446636,4733,0.060675988975523,0.06055332894216643,4705.541846927361
140,261.56687,1105,52705,0.86106881785352,1.668738019095969e-05,1095.6978187501204,52762.56791773212,4739,0.06064193961394751,0.06050560107235906,4726.280096944347
