2021-01-07 23:23:12,590 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 61
2021-01-07 23:23:12,594 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 62
2021-01-07 23:23:12,599 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 63
2021-01-07 23:23:12,604 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 64
2021-01-07 23:23:12,609 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 65
2021-01-07 23:23:12,613 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 66
2021-01-07 23:23:12,618 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 67
2021-01-07 23:23:12,623 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 68
2021-01-07 23:23:12,628 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 69
2021-01-07 23:23:12,633 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 7
2021-01-07 23:23:12,638 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 70
2021-01-07 23:23:12,643 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 71
2021-01-07 23:23:12,648 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 72
2021-01-07 23:23:12,652 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 73
2021-01-07 23:23:12,657 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 74
2021-01-07 23:23:12,662 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 75
2021-01-07 23:23:12,667 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 76
2021-01-07 23:23:12,672 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 77
2021-01-07 23:23:12,677 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 78
2021-01-07 23:23:12,683 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 79
2021-01-07 23:23:12,687 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 8
2021-01-07 23:23:12,692 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 80
2021-01-07 23:23:12,697 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 81
2021-01-07 23:23:12,702 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 82
2021-01-07 23:23:12,707 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 83
2021-01-07 23:23:12,711 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 84
2021-01-07 23:23:12,717 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 85
2021-01-07 23:23:12,722 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 86
2021-01-07 23:23:12,726 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 87
2021-01-07 23:23:12,731 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 88
2021-01-07 23:23:12,736 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 89
2021-01-07 23:23:12,740 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 9
2021-01-07 23:23:12,745 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 90
