,x_(nm),baseline_dark,baseline_light,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1272,1277,1262.87798931861,4423.341725401679,1210,-12.4,,1189.1612358537984
1,186.775442325,1267,1267,1266.7765350939594,3337.9588251104515,1205,-inf,,1193.0415113311883
2,187.3207793,1270,1275,1270.548685579698,2389.7938500541472,1192,-15.6,,1196.832335991967
3,187.86601092499998,1276,1285,1274.194247732958,1573.9994752101907,1183,-10.333333333333334,,1200.5352434055374
4,188.41113719999998,1286,1281,1277.7130285108717,885.728375556007,1183,20.6,,1204.1517671413017
5,188.956158125,1285,1286,1281.1048348705708,320.1332260690215,1188,-97.0,,1207.6834407686626
6,189.50107369999998,1276,1293,1284.3694737691878,-127.63329827334019,1201,-4.411764705882353,,1211.131797857023
7,190.045883925,1276,1298,1287.506752163855,-462.41852249365365,1222,-2.4545454545454546,,1214.4983719757852
8,190.59058879999998,1284,1305,1290.5164770117042,-689.0697716144932,1233,-2.4285714285714284,,1217.784696694352
9,191.135188325,1296,1314,1293.3984552698676,-812.4343706584332,1229,-3.7222222222222223,,1220.9923055821257
10,191.67968249999998,1305,1314,1296.1524938954776,-837.3596446480497,1229,-8.444444444444445,,1224.1227322085094
11,192.22407132499998,1294,1303,1298.778399845666,-768.6929186059151,1234,-6.666666666666667,,1227.1775101429052
12,192.7683548,1292,1304,1301.2759800775652,-611.2815175546057,1235,-4.75,,1230.1581729547158
13,193.312532925,1300,1306,1303.6450415483073,-369.97276651669745,1224,-12.666666666666666,,1233.066254213344
14,193.8566057,1301,1301,1305.8853912150246,-49.6139905147611,1231,-inf,,1235.9032874881925
15,194.400573125,1294,1300,1307.996836034849,344.9474854286236,1238,-9.333333333333334,,1238.6708063486637
16,194.9444352,1298,1299,1309.9791829649128,808.8643362908842,1242,-56.0,,1241.3703443641602
17,195.488191925,1314,1305,1311.832238962348,1337.2892370494465,1253,6.777777777777778,,1244.0034351040847
18,196.0318433,1324,1318,1313.5558109842868,1925.3748626817346,1263,10.166666666666666,,1246.5716121378396
19,196.575389325,1320,1322,1315.1497059878616,2568.273888165175,1267,-26.5,,1249.0764090348277
20,197.11883,1310,1309,1316.6137309302042,3261.1389884771916,1259,51.0,,1251.5193593644515
21,197.662165325,1320,1310,1317.9476927684468,3999.1228385952154,1248,7.2,,1253.9019966961137
22,198.2053953,1326,1310,1319.1513984597218,4777.378113496662,1243,5.1875,,1256.225854599217
23,198.74851992499998,1318,1311,1320.2246549611614,5591.057488158962,1234,12.0,,1258.4924666431637
24,199.2915392,1324,1325,1321.1672692298973,6435.313637559533,1241,-83.0,,1260.7033663973566
25,199.83445312499998,1341,1337,1321.9790482230376,7305.299236675663,1265,19.0,,1262.8600874311746
26,200.3772617,1342,2442,1322.703209585696,8065.419986862515,1258,-0.07636363636363637,,1265.8511631067279
27,200.919964925,1323,6979,1322.827515912,8840.188656594544,1256,-0.011845827439886845,-inf,1268.1920315295686
28,201.4625628,1326,12309,1322.644589911411,9633.733334843186,1272,-0.004916689429117728,-inf,1269.8755577702536
29,202.005055325,1332,14507,1322.5908854107427,10443.896600149294,1283,-0.0037191650853889945,-inf,1271.6924958662466
30,202.5474425,1323,15451,1322.7450451878613,11263.176221431753,1289,-0.002406568516421291,-inf,1273.6393349792502
31,203.089724325,1321,16142,1322.6836168429384,12090.710684273476,1282,-0.0026314013899197087,-inf,1275.1286552356546
32,203.63190079999998,1323,16824,1322.119187297535,12928.792430179372,1282,-0.0026449906457647896,-inf,1276.1831525062612
33,204.173971925,1320,17323,1321.4586740356265,13773.65811230126,1279,-0.0025620196213210025,-inf,1278.079073138665
34,204.71593769999998,1321,17661,1320.7483068698925,14616.570296042664,1279,-0.0025703794369645043,inf,1280.5523341411792
35,205.257798125,1323,17911,1320.4184013227682,15450.602459851569,1285,-0.002290812635640222,inf,1282.665858796324
36,205.7995532,1322,18282,1320.4342567215313,16269.837980474897,1284,-0.002240566037735849,inf,1284.5820743391453
37,206.34120292499998,1321,18865,1319.9507123603908,17076.155949171793,1286,-0.001994984040127679,inf,1286.480509184781
38,206.88274729999998,1321,19495,1319.2034247661074,17868.754173367117,1284,-0.0020358754264333664,inf,1288.0601146118581
39,207.424186325,1326,19826,1318.6979999546736,18637.295816439426,1277,-0.0026486486486486487,inf,1289.0428775283453
40,207.96552,1320,20034,1318.169562164463,19377.933090216844,1290,-0.0016030779095864058,0.6015350716791424,1290.5126050419922
41,208.506748325,1313,20322,1317.1063897256763,20092.3754784929,1304,-0.0004734599400284076,0.610758378825724,1292.052118960767
42,209.0478713,1312,20706,1315.6420756981784,20777.152891344816,1301,-0.0005671857275446014,-0.9342327944295408,1293.2245803981725
43,209.588888925,1305,21195,1314.4496591089014,21428.0648712311,1290,-0.0007541478129713424,-0.7682524064484895,1294.3201884527148
44,210.12980119999997,1291,21555,1313.969308478083,22041.482842193054,1283,-0.00039478878799842083,-0.4521417539957645,1295.7570046886433
45,210.670608125,1291,21954,1313.5232734603023,22604.78135405062,1287,-0.0001935827324202681,-1.2623266441581922,1297.6334231805681
46,211.2113097,1303,22324,1312.9514598291898,23115.100138168033,1286,-0.0008087150944293801,0.28387871728697456,1299.3388298715463
47,211.751905925,1311,22496,1312.6441142494482,23568.13574486353,1295,-0.0007552513570922823,0.7139558638118776,1300.200027180659
48,212.29239679999998,1315,22756,1312.2596887811476,23953.851548165974,1316,4.663961568956672e-05,1.1310254943272957,1300.63661691089
49,212.83278232499998,1314,23144,1311.6193118756685,24278.707060182092,1316,9.161704076958314e-05,1.8106811740456756,1300.6454732836282
50,213.37306249999997,1309,23586,1311.2482049423293,24543.16340120907,1299,-0.0004488934775777708,-0.505064886382599,1300.466782939566
51,213.91323732499998,1306,24156,1311.1278171645768,24740.403497247484,1297,-0.0003938730853391685,0.0016339277375638148,1300.3473011846
52,214.45330679999998,1314,24765,1311.021631294002,24907.96992004301,1313,-4.2642104814293634e-05,-0.00021841344398022534,1299.6860178033228
53,214.993270925,1321,25171,1310.1797775713806,25158.115767061056,1321,0.0,-0.0004116483837347218,1298.3997146027973
54,215.5331297,1317,25547,1309.551360166683,25535.58567577926,1302,-0.0006190672719768881,-0.000454171721139732,1296.9563750028062
55,216.07288312499998,1315,26065,1310.151147251328,25963.812204126436,1287,-0.0011313131313131313,-0.00048023497676052463,1296.6328342657569
56,216.61253119999998,1317,26527,1311.1794151622662,26406.61550657948,1296,-0.0008330027766759223,-0.00047614611933376877,1297.1136152573988
57,217.152073925,1320,26792,1312.3994880971004,26864.60651430332,1316,-0.000157035175879397,-0.0004808519106144849,1297.7381367641149
58,217.69151129999997,1317,27038,1313.5565924482746,27341.80665473684,1304,-0.0005054235838419968,-0.0004891475002848175,1298.3218192937304
59,218.230843325,1321,27450,1314.196652245779,27837.983533035323,1291,-0.0011481495656167477,-0.0005004727205799142,1298.3804616185848
60,218.77006999999998,1316,27993,1314.88645269426,28349.428775283155,1294,-0.0008246804363309218,-0.00051877887604372,1298.4036784524883
61,219.30919132499997,1310,28640,1315.744999886722,28867.26374323259,1295,-0.0005488474204171241,-0.0005416215178397532,1298.4146866293438
62,219.84820729999998,1312,29111,1316.697954653534,29391.862601643872,1295,-0.0006115327889492428,-0.0005734077173474427,1298.2979682438765
63,220.38711792499998,1314,29490,1317.7724297265822,29934.118507779895,1302,-0.00042589437819420784,-0.0006063223830061284,1298.2358830324333
64,220.9259232,1309,30101,1318.6446125619807,30505.03864187126,1306,-0.00010419560989163657,-0.0006396428986561938,1298.1044417766857
65,221.464623125,1306,30736,1319.540351989827,31092.992751817113,1289,-0.0005776418620455318,-0.0006855963765151785,1298.043330539738
66,222.0032177,1312,31198,1320.2965412579872,31683.82690434603,1285,-0.0009034330455731781,-0.0007175226232820584,1297.9465673061427
67,222.54170692499997,1326,31636,1321.0603411175537,32274.32705157473,1294,-0.0010557571758495546,-0.000724675269269274,1298.225712926655
68,223.0800908,1333,32077,1321.8344016851768,32867.11046682761,1303,-0.000975800156128025,-0.0007300262041633666,1298.6385422093117
69,223.61836932499997,1321,32498,1322.2109447552352,33461.62578993797,1299,-0.0007056483946499022,-0.0007306333483287251,1298.9307798590885
70,224.1565425,1317,33211,1322.0995719042082,34051.69931368708,1285,-0.0010033235091239732,-0.0007167006663335805,1299.0985299780043
71,224.69461032499999,1310,33895,1321.6400597974784,34634.05307028405,1277,-0.0010127359214362436,-0.0006940956627402577,1299.127069695778
72,225.23257279999999,1309,34626,1321.0332963373776,35201.1868898496,1287,-0.0006603235585436864,-0.0006726164211641643,1299.1959274275498
73,225.77042992499997,1318,35608,1320.6362318512056,35745.29096921719,1288,-0.0008748906386701663,-0.0006432456565546728,1299.7197218509793
74,226.30818169999998,1320,36270,1320.6828014224304,36264.419737705706,1283,-0.0010586552217453505,-0.0006080814049821073,1300.6252916260594
75,226.84582812499997,1318,36777,1320.5931731182789,36758.74864662776,1285,-0.0009306523026594095,-0.0005793554891748279,1301.1804797390403
76,227.3833692,1331,37349,1319.9511427212142,37222.889170761926,1300,-0.0008606807707257483,-0.0005581928470204172,1301.0774422976488
77,227.92080492499997,1340,37662,1319.1839905773377,37651.47283064097,1308,-0.0008810087550245031,-0.0005311165315625235,1301.0135903417722
78,228.45813529999998,1355,37945,1318.7655892545445,38041.054066909055,1325,-0.0008198961464881115,-0.00048140077160234115,1301.8657274230197
79,228.99536032499998,1360,38295,1318.60513261906,38379.32202314814,1349,-0.0002978204954650061,-0.000426981135225107,1303.096717932431
80,229.53248,1332,38719,1318.5940564904954,38657.7668803363,1327,-0.00013373632546072165,-0.0004050372741373111,1303.7065845205755
81,230.069494325,1311,39338,1318.8033704047405,38880.25454710111,1308,-7.88913140663213e-05,-0.0004023163607298489,1304.0799791614509
82,230.60640329999998,1301,39762,1318.992480010847,39038.290765362,1295,-0.00015600218403057642,-0.0003966956071324858,1304.5307707988604
83,231.143206925,1303,40065,1319.2571519173455,39117.569254115995,1293,-0.00025798462411640266,-0.0003788024667463538,1305.4273482977846
84,231.67990519999998,1317,40170,1319.1954744161562,39115.97501642091,1305,-0.000308856458960698,-0.0003640683820184421,1305.9296020294662
85,232.216498125,1317,40155,1318.889918231418,39042.67489637289,1304,-0.0003347237241876513,-0.00035832915188012133,1305.922761557428
86,232.75298569999998,1314,40245,1318.3241296518354,38900.12351355562,1309,-0.00012843235467879067,-0.00035938217575475195,1305.5730820629888
87,233.289367925,1310,40352,1317.5134204624994,38686.67147613688,1312,5.122688386865427e-05,-0.000339737414783906,1305.4692292010893
