,x_(nm),baseline_dark,baseline_light,baseline_mirror,baseline_calibration,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1285,1283,0.3621226043733797,-0.18106130218668984,1263.2030760377029,4131.6645923649385,1281,0.7242452087467594,1.4772130939488242,1503.050131066779
1,186.775442325,1273,1283,1.18800459154587,0.118800459154587,1268.1192963816704,3153.1903766312316,1287,1.6632064281642178,1.4280736246066295,1426.267373067595
2,187.3207793,1272,1280,1.908567993433533,0.2385709991791916,1272.7408606145239,2297.011314972701,1286,3.3399939885086827,1.3787508742086134,1359.4896403973619
3,187.86601092499998,1270,1274,1.7279185264672412,0.4319796316168103,1277.075854673428,1558.952686089764,1279,3.887816684551293,1.3293109856410847,1302.3671923889697
4,188.41113719999998,1271,1279,1.043047789334166,0.13038097366677076,1281.1323644955476,934.8397686828389,1280,1.1734287630009368,1.2798201017903523,1254.5502883753084
5,188.956158125,1277,1272,0.840365554154959,-0.1680731108309918,1284.9184760180474,420.4978414523425,1271,1.0084386649859507,1.230344365542725,1215.689187689267
6,189.50107369999998,1279,1272,0.8202728553565946,-0.11718183647951351,1288.4422751780921,11.752183098692512,1262,1.9920912201517296,1.1809499197845112,1185.434149663736
7,190.045883925,1294,1287,0.837733819880384,-0.119676259982912,1291.7118479128465,-295.5719276776945,1272,2.632877719624064,1.1317029074020202,1163.4354336316048
8,190.59058879999998,1298,1289,0.8116271105193998,-0.0901807900577111,1294.7352801594752,-505.6492121764013,1293,0.45090395028855546,1.0826694712815605,1149.343298925763
9,191.135188325,1301,1300,0.8262856362484797,-0.8262856362484797,1297.520657855143,-622.6543916970086,1314,-10.741713271230237,1.033915754309441,1142.808004879101
10,191.67968249999998,1318,1314,0.8012221689422371,-0.20030554223555927,1300.076066937015,-650.7621875390987,1324,-1.2018332534133556,0.9855078993719704,1143.4798108245077
11,192.22407132499998,1303,1302,0.7775424502505143,-0.7775424502505143,1302.4095933422554,-594.1473210022586,1308,-3.8877122512525712,0.9375120493554576,1151.008976094873
12,192.7683548,1287,1291,0.7753865851703869,0.19384664629259674,1304.529323008029,-456.9845133860663,1290,0.5815399388777902,0.8899943471462112,1165.0457600230875
13,193.312532925,1287,1290,0.7956261498651602,0.2652087166217201,1306.443341871501,-243.44848599010402,1293,1.5912522997303205,0.8430209356305403,1185.2404219420398
14,193.8566057,1284,1290,0.7908861747409445,0.13181436245682407,1308.1597358698357,42.286039886041635,1306,2.8999159740501295,0.7966579576947533,1211.2432211846203
