,x_(nm),baseline_dark,baseline_light,baseline_mirror,baseline_calibration,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1210,1185,0.3621226043733797,-0.014484904174935188,1185.8559561866984,4014.9314531811897,1183,0.39109241272325007,,1333.4823953125838
1,186.775442325,1205,1187,1.18800459154587,-0.06600025508588166,1191.6707128198793,3045.917019076631,1176,1.914007397490568,,1284.1766912989997
2,187.3207793,1197,1180,1.908567993433533,-0.11226870549609017,1197.0988363866745,2198.1325292574793,1171,2.9189863428983442,,1241.439357952502
3,187.86601092499998,1187,1174,1.7279185264672412,-0.13291680972824932,1202.152716503469,1467.4496736382098,1181,0.7975008583694959,,1205.0558368549805
4,188.41113719999998,1193,1179,1.043047789334166,-0.07450341352386901,1206.844742786648,849.7401421332984,1190,0.223510240571607,,1174.8115695883255
5,188.956158125,1196,1194,0.840365554154959,-0.4201827770774795,1211.187304852597,340.8756246572211,1202,-2.5210966624648767,,1150.4919977344268
6,189.50107369999998,1192,1211,0.8202728553565946,0.04317225554508392,1215.192792317701,-63.27218887554682,1210,0.7771005998115106,,1131.8825628751742
7,190.045883925,1209,1218,0.837733819880384,0.09308153554226489,1218.873594798345,-366.8316085505294,1222,1.2100599620494437,,1118.768706592458
8,190.59058879999998,1229,1221,0.8116271105193998,-0.10145338881492498,1222.2421019109145,-573.930944453251,1227,0.20290677762984996,,1110.935870468168
9,191.135188325,1233,1216,0.8262856362484797,-0.04860503742638116,1225.3107032717942,-688.6985066692368,1224,0.4374453368374305,,1108.1694960841942
10,191.67968249999998,1238,1226,0.8012221689422371,-0.06676851407851976,1228.0917884973699,-715.2626052840087,1225,0.8679906830207569,,1110.2550250224265
11,192.22407132499998,1230,1231,0.7775424502505143,0.7775424502505143,1230.5977472040263,-657.7515503830928,1215,-11.663136753757714,,1116.977898864755
12,192.7683548,1226,1226,0.7753865851703869,inf,1232.8409690081487,-520.2936520520143,1210,-inf,,1128.1235591930695
13,193.312532925,1228,1212,0.7956261498651602,-0.049726634366572514,1234.8338435261223,-307.01722037629406,1208,0.9945326873314503,,1143.47744758926
14,193.8566057,1238,1211,0.7908861747409445,-0.029292080545960907,1236.5887603743322,-22.05056544146146,1220,0.5272574498272963,,1162.8250056352167
15,194.400573125,1247,1226,0.7942231778648126,-0.03782015132689583,1238.118109169164,330.47800266696277,1232,0.5673022699034375,,1185.9516749128295
16,194.9444352,1246,1237,0.7947581770897779,-0.08830646412108643,1239.4342795270022,746.4401738634542,1242,0.35322585648434573,,1212.6428970039883
