sample,position,conductance
25,0,0.0
25,1,0.0
25,10,0.0
25,11,0.0
25,12,0.0
25,13,0.0
25,14,0.0
25,15,0.0
25,16,0.0
25,17,0.0
25,18,0.0
25,19,0.0
25,2,0.0
25,20,0.0
25,21,0.0
25,22,0.0
25,23,0.0
25,24,0.0
25,25,0.0
25,26,0.0
25,27,0.0
25,28,0.0
25,29,0.0
25,3,0.0
25,30,0.0
25,31,0.0
25,32,0.0
25,33,0.0
25,34,0.0
25,35,0.0
25,36,0.0
25,37,0.0
25,38,0.0
25,39,0.0
25,4,0.0
25,40,0.0
25,41,0.0
25,42,0.0
25,43,0.0
25,44,0.0
25,45,0.0
25,46,0.0
25,47,0.0
25,48,0.0
25,49,0.0
25,5,0.0
25,50,0.0
25,51,0.0
25,52,0.0
25,53,0.0
25,54,0.0
25,55,0.0
25,56,0.0
25,57,0.0
25,58,0.0
25,59,0.0
25,6,0.0
25,60,0.0
25,61,0.0
25,62,0.0
25,63,0.0
25,64,0.0
25,65,0.0
25,66,0.0
25,67,0.0
25,68,0.0
25,69,0.0
25,7,0.0
25,70,0.0
25,71,0.0
25,72,0.0
25,73,0.0
25,74,0.0
25,75,0.0
25,76,0.0
25,77,0.0
25,78,0.0
25,79,0.0
25,8,0.0
25,80,0.0
25,81,0.0
25,82,0.0
25,83,0.0
25,84,0.0
25,85,0.0
25,86,0.0
25,87,0.0
25,88,0.0
25,89,0.0
25,9,0.0
25,90,0.0
25,91,0.0
25,92,0.0
25,93,0.0
25,94,0.0
25,95,0.0
25,96,0.0
22,0,0.0
22,1,0.0
22,10,0.0
22,11,0.0
22,12,0.0
22,13,0.0
22,14,0.0
22,15,0.0
22,16,0.0
22,17,0.0
22,18,0.0
22,19,0.0
22,2,0.0
22,20,0.0
22,21,0.0
22,22,0.0
22,23,0.0
22,24,0.011319479826241126
22,25,0.011201968140994495
22,26,0.008636395344272253
22,27,0.008724356988249516
22,28,0.006161844309014341
22,29,0.0
22,3,0.0
22,30,0.0
22,31,0.0
22,32,0.0
22,33,0.0
22,34,0.012775328868903407
22,35,0.013697736433399822
22,36,0.013193901936851608
22,37,0.010550685890669494
22,38,0.009521445225893632
22,39,0.011297053346808134
22,4,0.0
22,40,0.0
22,41,0.0
22,42,0.0
22,43,0.0
22,44,0.004118819711023608
22,45,0.016213011736355993
22,46,0.012024851313572421
22,47,0.01569773746379527
22,48,0.013378724031144098
22,49,0.013018567555295178
22,5,0.0
22,50,0.011558106000248727
22,51,0.006647321694379506
22,52,0.0
22,53,0.0
22,54,0.0
22,55,0.0
22,56,0.0
22,57,0.0015415959927489486
22,58,0.01674581576487936
22,59,0.011750725678654345
22,6,0.0
22,60,0.009697256635015371
22,61,0.006932483091351871
22,62,0.0
22,63,0.0
22,64,0.0
22,65,0.0
22,66,0.0
22,67,0.00010374393483315838
22,68,0.0
22,69,0.0001931176816715619
22,7,0.0
22,70,0.0
22,71,0.00492029563891564
22,72,0.0
22,73,0.0
22,74,0.0
22,75,0.0
22,76,0.0
22,77,0.0
22,78,0.0
22,79,0.0
22,8,0.0
22,80,0.0
22,81,0.0
22,82,0.0
22,83,0.0
22,84,0.0
22,85,0.0
22,86,0.0
22,87,0.0
22,88,0.0
22,89,0.0
22,9,0.0
22,90,0.0
22,91,0.0
22,92,0.0
22,93,0.0
22,94,0.0
22,95,0.0
22,96,0.0
14,0,0.0
14,1,0.09240014179725754
14,10,0.0
14,11,0.0
14,12,0.14301774448737842
14,13,0.10631566701082565
14,14,0.08899716594881973
14,15,0.06282666500086251
14,16,0.0
14,17,0.07999415814090831
14,18,0.04472970208452871
14,19,0.0
14,2,0.0
14,20,0.0
14,21,0.08419160156300501
14,22,0.15881493205216568
14,23,0.14621570262650396
14,24,0.0895671596635064
14,25,0.14770172943954996
14,26,0.0
14,27,0.11118314190375869
14,28,0.10309035427736604
14,29,0.05318383105168365
14,3,0.0
14,30,0.0
14,31,0.0
14,32,0.016829927583105662
14,33,0.12135292212202223
14,34,0.17948469431448894
14,35,0.0
14,36,0.18569437094042254
14,37,0.2027772664089173
14,38,0.10952413250824107
14,39,0.04480681637136093
14,4,0.0
14,40,0.05918784301997343
14,41,0.0
14,42,0.0
14,43,0.0
14,44,0.0
14,45,1.9757819933438723
14,46,0.6234892354806166
14,47,0.6277569178139744
14,48,0.24419964786410772
14,49,0.0
14,5,0.11400218851629892
14,50,0.05682471297025694
14,51,0.0
14,52,0.0
14,53,0.0
14,54,0.0
14,55,0.0
14,56,0.0
14,57,0.016868596620477874
14,58,0.014777071203908674
14,59,0.017076589173308284
14,6,0.02018517883059184
14,60,0.20119350863515342
14,61,0.10453279433437032
14,62,0.0
14,63,0.0
14,64,0.0
14,65,0.0
14,66,0.0
14,67,0.0
14,68,0.0
14,69,0.0
14,7,0.07743265184487713
14,70,0.0
14,71,0.37612233561653896
14,72,0.0
14,73,0.0
14,74,0.0
14,75,0.0
14,76,0.0
14,77,0.0
14,78,0.0
14,79,0.0
14,8,0.018119165167747937
14,80,0.0
14,81,0.0
14,82,0.0
14,83,0.0
14,84,0.0
14,85,0.0
14,86,0.0
14,87,0.0
14,88,0.0
14,89,0.0
14,9,0.009521654520776144
14,90,0.0
14,91,0.0
14,92,0.0
14,93,0.0
14,94,0.0
14,95,0.0
14,96,0.0
13,0,0.0
13,1,0.0
13,10,0.0
13,11,0.0
13,12,0.0
13,13,0.1344020420508661
13,14,0.1520776247647549
13,15,0.17487719249157274
13,16,0.1727880537301731
13,17,0.16849426782500848
13,18,0.13922007521662885
13,19,0.0
13,2,0.0
13,20,0.0
13,21,0.0
13,22,0.16934968993281407
13,23,0.13112464483953337
13,24,0.07200347879664698
13,25,0.20570375368209706
13,26,0.16448232185125317
13,27,0.1848988854031046
13,28,0.16442730381150703
13,29,0.13870709727558453
13,3,0.0
13,30,0.0
13,31,0.0
13,32,0.0
13,33,0.13959085919170902
13,34,0.15382260715475085
13,35,0.25716145988797384
13,36,0.13399111485775783
13,37,0.06006207243580317
13,38,0.09443262987319583
13,39,0.17805905455729423
13,4,0.0
13,40,0.14925594313177978
13,41,0.0
13,42,0.0
13,43,0.0
13,44,0.019877960962495975
13,45,0.32367007088975647
13,46,0.17092688080125829
13,47,0.13108956685291678
13,48,0.12768053891401862
13,49,0.18094503975362516
13,5,0.0
13,50,0.11388716498971876
13,51,0.13337025784186152
13,52,0.0
13,53,0.0
13,54,0.0
13,55,1.3154180906067492
13,56,0.5933720511422282
13,57,0.04478767443199629
13,58,0.07395878836697987
13,59,0.1561127914918528
13,6,0.0
13,60,0.10503011738616044
13,61,0.10763304328278317
