sample,position,xrf_avg,xrf_std,cond,cond_nan,cond_nan_pass,xrf_avg_rel,xrf_avg_rel_pass,condxrf,condxrf_pass
0,0,196813.97053922547,282404.35739739554,0.0,,False,,False,,False
0,1,236779.31080450572,299385.90897063183,0.0,,False,,False,,False
0,2,227510.05354484648,251625.33530694328,0.0,,False,,False,,False
0,3,227385.63398431422,225386.05720754716,0.0,,False,,False,,False
0,4,223430.86938167922,240631.19120909012,0.0,,False,,False,,False
0,5,222124.46399608962,307472.6234179691,0.026483980171444026,0.026483980171444026,True,222124.46399608962,True,1.1923036164044617e-07,True
0,6,300286.6093447976,331316.83792489517,0.027711839544965252,0.027711839544965252,True,300286.6093447976,True,9.228463302253259e-08,True
0,7,290804.0614099401,279038.44742786034,0.023383899847558686,0.023383899847558686,True,290804.0614099401,True,8.041118729285872e-08,True
0,8,284974.11628785345,227563.9849761496,0.024758706509674062,0.024758706509674062,True,284974.11628785345,True,8.688054491470095e-08,True
0,9,283792.13046279625,198708.7745187723,0.027018680445473186,0.027018680445473186,True,283792.13046279625,True,9.520588326889917e-08,True
0,10,272185.56288742245,220379.9098070428,0.029306481785749426,0.029306481785749426,True,272185.56288742245,True,1.0767096342237212e-07,True
0,11,241187.3180919371,237263.8993441153,0.0,,False,,False,,False
0,12,208393.8767801995,314957.0454531561,0.0423715553211803,0.0423715553211803,True,208393.8767801995,True,2.03324377740096e-07,True
0,13,315785.7317425403,356082.4511073618,0.047274158513225,0.047274158513225,True,315785.7317425403,True,1.497032758648119e-07,True
0,14,273056.4998111488,231975.1195170472,0.043900294028490716,0.043900294028490716,True,273056.4998111488,True,1.6077366427407155e-07,True
0,15,208527.1834521984,40007.50561644979,0.050364616439449686,0.050364616439449686,True,208527.1834521984,True,2.4152542419485076e-07,True
0,16,210393.4768601834,31507.879750737648,0.047526054971486716,0.047526054971486716,True,210393.4768601834,True,2.2589129511401186e-07,True
0,17,209975.78262125343,31596.207302324237,0.03366329453430245,0.03366329453430245,True,209975.78262125343,True,1.603198907705612e-07,True
0,18,198466.97327201214,38269.59432775391,0.03514877156926334,0.03514877156926334,True,198466.97327201214,True,1.771013634650921e-07,True
0,19,218951.7652025149,144111.86500577015,0.03642286940978222,0.03642286940978222,True,218951.7652025149,True,1.6635111105906656e-07,True
0,20,229127.5078317669,199985.53726253737,0.0,,False,,False,,False
0,21,147943.74458441642,246468.75012416203,0.0,,False,,False,,False
0,22,293834.56642004923,365510.49490723,0.0584281793099056,0.0584281793099056,True,293834.56642004923,True,1.98847194942953e-07,True
0,23,326192.5392699237,308307.8501733275,0.055683397565458204,0.055683397565458204,True,326192.5392699237,True,1.7070714642979709e-07,True
0,24,214330.46723988527,44238.56978758212,0.05868845718777655,0.05868845718777655,True,214330.46723988527,True,2.73822279881892e-07,True
0,25,205470.0171076895,34931.32268278893,0.05309139634581776,0.05309139634581776,True,205470.0171076895,True,2.5838999330978727e-07,True
0,26,203790.35304050293,29241.114181429613,0.05370828055855383,0.05370828055855383,True,203790.35304050293,True,2.635467271008624e-07,True
0,27,203150.4810149081,34281.38480570755,0.05356913548445553,0.05356913548445553,True,203150.4810149081,True,2.636918958637582e-07,True
0,28,194716.61223310887,39230.43202484504,0.04720817591654672,0.04720817591654672,True,194716.61223310887,True,2.4244554881650525e-07,True
0,29,185127.41896065226,31585.729360632253,0.048469786341373465,0.048469786341373465,True,185127.41896065226,True,2.6181851728660156e-07,True
0,30,211477.7044591081,126356.51641419913,0.04221746002571947,0.04221746002571947,True,211477.7044591081,True,1.9963078440679192e-07,True
0,31,208891.55502232886,205413.68654834654,0.0,,False,,False,,False
0,32,239472.10557888413,377464.12193294073,0.04416782207585985,0.04416782207585985,True,239472.10557888413,True,1.8443827505124848e-07,True
0,33,335390.6996378501,379860.26732764655,0.06282799579590953,0.06282799579590953,True,335390.6996378501,False,1.8732778178926924e-07,False
0,34,283018.9517652024,209560.29017335156,0.06853289909583073,0.06853289909583073,True,283018.9517652024,True,2.421495050716139e-07,True
0,35,218125.2638361216,31831.387846337162,0.06311301616247708,0.06311301616247708,True,218125.2638361216,True,2.893429905941301e-07,True
0,36,213130.70719189485,37726.15559159157,0.06105629128386551,0.06105629128386551,True,213130.70719189485,True,2.8647346076176966e-07,True
0,37,208900.44213379532,37271.56861630111,0.06642406384415317,0.06642406384415317,True,208900.44213379532,True,3.179699533695112e-07,True
0,38,202599.48010397915,35090.043596681935,0.05904015219539116,0.05904015219539116,True,202599.48010397915,True,2.91413147581081e-07,True
0,39,194378.9019973782,33572.957095738304,0.05597962117870608,0.05597962117870608,True,194378.9019973782,True,2.879922697549816e-07,True
0,40,185331.82252438396,23769.964813386803,0.04676074460874498,0.04676074460874498,True,185331.82252438396,True,2.5230823272453764e-07,True
0,41,184780.821613455,24674.47882758688,0.036352473793631455,0.036352473793631455,True,184780.821613455,True,1.9673293730492006e-07,True
0,42,215272.50105534442,207207.22932382303,0.0,,False,,False,,False
0,43,330618.32078028825,466689.9359945664,0.041622004769049294,0.041622004769049294,True,330618.32078028825,True,1.2589140453807192e-07,True
