sample,position,xrf_avg,xrf_std
25,0,307236.3305116754,394612.18631538545
25,1,362985.18074162933,367000.79911443766
25,2,355502.23288675596,317749.1346272983
25,3,343166.9221711213,302373.9479686892
25,4,317332.089137728,301536.43448415346
25,5,338652.26954609074,424182.37157059496
25,6,462209.78026616893,413597.8412990671
25,7,418760.69230598316,299196.5097854696
25,8,362549.71227976616,183155.22817291974
25,9,345406.4742607032,146468.88392224297
25,10,363944.98878002167,214088.68836587257
25,11,366326.7346530693,293682.4345388025
25,12,312097.5804839032,450667.6986594312
25,13,453731.4759270367,458783.6651839647
25,14,349965.56244306685,270359.4691507095
25,15,281721.4334910794,42940.93716960652
25,16,297531.604790153,40483.240270255985
25,17,300082.20578106586,43744.67373207734
25,18,283187.8068830677,40038.82901068331
25,19,313786.13166255626,190058.0911207411
25,20,323881.89028860885,315725.47168734594
25,21,158608.2783443311,301620.7424691439
25,22,445821.94672176667,517645.0595787769
25,23,499117.9541869402,466650.99823766196
25,24,250172.1877846652,57185.6447270331
25,25,262649.69228376535,35700.12962848555
25,26,270177.0756959718,40185.05151785133
25,27,270950.25439356564,43229.65990159765
25,28,260907.8184363126,38119.685610410015
25,29,237952.40951809628,44799.37268389109
25,30,327161.23441978265,328726.39736792404
25,31,262187.5624875025,355075.1710794901
25,32,170517.00770956912,340039.1364814884
25,33,532311.3155146749,597808.047271193
25,34,610900.0422137794,544931.2646109277
25,35,286262.7474505098,179881.0535557898
25,36,253673.70970250384,32073.687475943763
25,37,252553.9336577128,30893.069529090615
25,38,249141.28285454007,33301.11546048746
25,39,238645.60421249073,29720.79950449814
25,40,222604.36801528573,25659.13318846515
25,41,329089.7376080338,348212.3094458882
25,42,268079.7173898553,372906.01406246994
25,43,116234.53087160342,219475.4692647271
25,44,394410.00688751135,567823.0446167589
25,45,659894.6877291208,613954.5398719346
25,46,517007.70956919715,467623.532318506
25,47,305681.08600502106,193098.99433950163
25,48,249247.92819213922,32025.041269073146
25,49,241622.78655380025,33740.789182585955
25,50,233606.61201093104,30154.49959939329
25,51,282325.757070808,225813.9784493583
25,52,329827.3678597613,362229.07036026334
25,53,228745.3620387033,336407.29860851873
25,54,92852.54060299047,15014.2113130877
25,55,155257.83732142454,284235.44555056194
25,56,399271.2568597391,533848.1567319697
25,57,569317.2476615787,539749.9044883123
25,58,524321.8023062053,437536.4563020409
