,x_(nm),baseline_dark,baseline_light,baseline_dark_smoothed,baseline_light_smoothed,raw_signal,calibrated_signal,calibrated_signal_smoothed,raw_signal_smoothed
0,186.23,1015,1049,994.1730903617686,4050.882647011405,1023,0.23529411764705882,-0.5554216973994283,1012.9826277229155
1,186.775442325,1015,1035,1002.898457238079,3010.327702363007,1018,0.15,-0.3140539017195598,1015.6344637645408
2,187.3207793,1020,1029,1011.0473359090444,2101.3922660113976,1016,-0.4444444444444444,-0.0924570171041792,1018.3670125363475
3,187.86601092499998,1019,1027,1018.6374602542188,1319.4342182252767,1025,0.75,0.11001376724219669,1021.1732110228378
4,188.41113719999998,1014,1036,1025.6865641531563,659.8114392733464,1017,0.13636363636363635,0.2940032621150508,1024.0459962085135
5,188.956158125,1014,1031,1032.212381485411,117.88180942430927,1014,0.0,0.4601562783098664,1026.9783050778765
6,189.50107369999998,1018,1024,1038.232646130537,-310.99679105313453,1016,-0.3333333333333333,0.6091176266221267,1029.9630746154287
7,190.045883925,1034,1049,1043.7650919680884,-631.4664818902816,1030,-0.26666666666666666,0.7415321178473145,1032.9932418056721
8,190.59058879999998,1043,1070,1048.8274528776192,-848.169382818433,1042,-0.037037037037037035,0.8580445627809131,1036.0617436331086
9,191.135188325,1047,1079,1053.4374627386835,-965.7476135688853,1043,-0.125,0.9592997722184059,1039.1615170822397
10,191.67968249999998,1058,1079,1057.6128554308352,-988.843293872937,1052,-0.2857142857142857,1.0459425569552754,1042.285499137568
11,192.22407132499998,1067,1065,1061.3713648336288,-922.0985434618883,1058,4.5,1.1186177277870049,1045.426626783595
12,192.7683548,1060,1059,1064.7307248266181,-770.155482067034,1048,12.0,1.1779700955090777,1048.5778370048226
13,193.312532925,1047,1061,1067.7086692893572,-537.6562294196751,1035,-0.8571428571428571,1.2246444709169775,1051.732066785753
14,193.8566057,1055,1077,1070.3229321014003,-229.2429052511102,1046,-0.4090909090909091,1.2592856648061859,1054.8822531108879
15,194.400573125,1081,1085,1072.5912471423014,150.44237070736153,1059,-5.5,1.2825384879721877,1058.021332964729
16,194.9444352,1089,1095,1074.5313482916144,596.7574787244462,1067,-3.6666666666666665,1.2950477512104648,1061.1422433317787
17,195.488191925,1084,1114,1076.1609694288936,1105.0602990688399,1074,-0.3333333333333333,1.2974582653165005,1064.2379211965385
